ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
19.6," Woakes to Shami, byes, 1 run, leg-cutter and Shami wanted to send it into orbit. Swings as hard as possible and is nowhere close to the ball. It almost kissed the off-pole. Cummins called him through for a quick run ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
19.5," Woakes to Chris Morris, out Caught by U Yadav!! Clever bowling from Woakes. Dug in the slower short ball, Morris delayed his shot after reading it off the surface, the idea was to ramp it over short third man, since there was no pace the ball balloons to Umesh, who makes no mistake this time. Chris Morris c U Yadav b Woakes 16(9) [4s-3] ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
19.4," Woakes to Chris Morris, FOUR, streaky but DD won't mind. The slower delivery but had the space for Morris to throw the kitchen sink, the outside edge flies fine and down to the third man fence ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
19.3," Woakes to Chris Morris, FOUR, short delivery on middle and leg, that is easy pickings for a South African, Morris swivels and pulls it towards long leg. Bounced just before the ad cushions ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
19.2," Woakes to Pat Cummins, 1 run, off-pace delivery and Cummins heaves it to deep square leg, fielded on the bounce and kept to a single ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
19.1," Woakes to Chris Morris, 1 run, back of a length on off, Morris pulls to deep mid-wicket ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
18.6,"Coulter-Nile to Pat Cummins, no run, did that kiss the stumps? There was a sound when the ball went past leg-stump. YES. The ball brushes the leg-pole on the way to Uthappa. Cummins makes room and swings across the line, deceived by the pace and misses it completely. Not sure why the bails didn't fall off. A top spell from NCN, picked up wickets whenever needed, ends with: 4-0-22-3. Might have had four or five any other day",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
18.5," Coulter-Nile to Chris Morris, 1 run, Morris living a charmed life. Now, GG puts one down. What do you say now skipper? Umesh might be asking. It was a straightforward chance unlike his. Slower delivery and Morris is early into the drive, toe-ends it towards extra cover. It was going in slow motion and GG lost it in the background. The ball hit his fingers and went to ground ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
18.4," Coulter-Nile to Pat Cummins, 1 run, slanted into middle and leg, clipped to deep backward square leg ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
18.3," Coulter-Nile to Chris Morris, 1 run, dropped! Tough chance, but when you get two hands, you have to catch it. Short delivery and Morris is hurried into the pull, spliced towards long-on. Umesh runs forward and across, overruns and the ball comes near his waist while he was diving forward, hits his hands and pops out. GG is not happy with the effort ",1st Inns,18t,Delhi Daredevils,Kolkata Knight Riders,"Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Kuldeep Yadav, Nathan Coulter-Nile, Umesh Yadav",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 17,2017",Delhi Daredevils have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Nathan Coulter-Nile,DD,bat
