ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Sandeep Sharma to Corey Anderson, SIX, Anderson ends the innings in style. Slower short of length delivery, sat up nicely for Anderson, who waits for it and pulls it to deep square leg. The ball teased the fielder, but he could only palm it over the rope ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
19.5," Sandeep Sharma to Corey Anderson, FOUR, switches to round the wicket for Anderson, misses the yorker by a few inches, Anderson smashes the low full toss straight down the ground. No chance for long-on or long-off ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
19.4," Sandeep Sharma to Pat Cummins, 1 run, charges down and drags the slower ball off the cue-end to deep mid-wicket ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
19.3," Sandeep Sharma to Pat Cummins, no run, the off-speed delivery and Cummins swings a day early, missed it by a long way ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
19.2," Sandeep Sharma to Pat Cummins, FOUR, yorker followed by a slow short of length delivery, Cummins was waiting for that, he stayed on the back foot and pulled it in front of square, bisected deep mid-wicket and long-on to perfection ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
19.1," Sandeep Sharma to Pat Cummins, FOUR, handy runs these for DD. Not a bad delivery by any means. The wide yorker outside off, Cummins crouches low, opens the bat face and steers it past the diving backward point fielder ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.6," Axar to Corey Anderson, SIX, it was a gamble and it didn't pay off. Darted in on a shortish length, Anderson sets himself up with the front leg cleared, muscles it towards long-on. Maxwell leaps as high as possible, but couldn't even get a finger on it ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.5,"Axar to Corey Anderson, SIX, Axar became predictable there. He was targeting Anderson's pads, missed his length and the Kiwi got underneath that, swung it over the long leg fence and the short Kotla boundaries took care of the rest",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.4," Axar to Pat Cummins, 1 run, slows it up to the right-hander, Cummins went for the heave, hits it along the ground off the inner part of the bat, to deep mid-wicket ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.3," Axar to Corey Anderson, 1 run, short and angled away, Anderson flat-bats it over Axar. Maxwell is quick to get across the turf at long-on, keeps it down to a single ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.2," Axar to Corey Anderson, no run, fired in on the pads and Anderson can't get underneath it, struck on the pad ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
