ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Pat Cummins to Faulkner, FOUR, streaky, but GL will take it. It was a good over from Cummins. Full, fast and slanting into the batsman, Faulkner heaves across the line and the inside edge eludes a diving Sanju Samson ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Pat Cummins,4,0,Good,,
19.5," Pat Cummins to Faulkner, 2 runs, Faulkner strays away to the leg-side and Cummins follows him with a back of a length delivery, the short-arm pull goes to long-on and a fumble from Brathwaite ensures that the second is got with ease ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Pat Cummins,2,0,Back of Length,,long-on
19.4," Pat Cummins to Jadeja, 1 run, back of a length on the batsman's pads, whipped on the bounce to deep mid-wicket ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Jadeja, Pat Cummins,1,0,Back of Length,,mid-wicket
19.3," Pat Cummins to Faulkner, 1 run, hacked across the line and to deep mid-wicket. Iyer once more does a fine job to get to the ball and release it quickly, on the bounce to Cummins and he lights up the stumps. Faulkner was inside the crease ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Pat Cummins,1,0,,,mid-wicket
19.2," Pat Cummins to Faulkner, 2 runs, banged in short and Faulkner flat-bats the pull wide of long-on. Brathwaite can't stop Jadeja from taking the second. 13 more for 200 and they have four balls to do it ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Pat Cummins,2,0,Short,wide,long-on
19.1," Pat Cummins to Faulkner, 2 runs, Faulkner backs away and Cummins fires it on the pads, flicked to deep mid-wicket. Iyer fires a flat throw on the bounce and Pant got into a tangle. Might have been blinded by the batsman, fails to glove it and the duo race across for the second ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Pat Cummins,2,0,,stump line,mid-wicket
18.6," Shami to Faulkner, 1 run, good length ball around off and middle, Faulkner ekes out an inside edge onto the pad and the ball drops on the pitch, Shami runs forward and fails at his footballing skills ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Shami,1,0,Good,,
18.5," Shami to Faulkner, no run, slower delivery and Faulkner is deceived by the lack of pace, swings blindly and the ball beats the inside edge. It wasn't far from the leg-pole either ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Shami,0,0,,,
18.4," Shami to Faulkner, 2 runs, top effort from Samson. Full and just outside off, Faulkner drives wide of long-off. The ball was racing across to the fence. Samson got across, dived and made the stop, the ball was still rolling over, but the youngster was alert enough to grab it before it would. Saved a couple ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Faulkner, Shami,2,0,Full,off side,long-off
18.3," Shami to Finch, out Bowled!! Shami makes a mess of the stumps. The off and middle are uprooted completely. But Finch has done his job. A quickfire 69 has set GL up for a strong finish. This was a full delivery and had Finch not given himself room, he would have been in a position to put it away, not to be and the ball crashed into the stumps after beating the swinging willow. Finch b Shami 69(39) [4s-6 6s-4] ",1st Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,GL,DD,Finch, Shami,out,out,Full,,
