ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Stokes to U Yadav, 1 run, loopy full toss outside off, Umesh throws everything he's got at that and only manages an outside edge to short third man. Tahir is right behind the ball and the end result is a single. Stokes is clutching his ribs. Still feeling the effects of his collision with Smith ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,U Yadav, Stokes,1,0,Full,off side,short third man,edge,,
19.5," Stokes to Suryakumar Yadav, 1 run, tries to be cheeky does Suryakumar. Waits for the slower delivery to arrive and back cuts it late towards short third man, Tahir dives to his right to make an important interception ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Stokes,1,0,Short,,short third man,late cut,,
19.4," Stokes to U Yadav, 1 run, full and on the pads, Umesh flicks it to deep mid-wicket and hands the strike back to Suryakumar ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,U Yadav, Stokes,1,0,Full,stump line,mid-wicket,flick shot,,
19.3," Stokes to Coulter-Nile, out Caught by Washington Sundar!! Stokes has his name in the wicket column. Short of length delivery following Coulter-Nile, who had made room to smash one into the on-side, the ball kept cramping him for room and once the bat face was closed, the leading edge lobbed to backward point. Sundar accepts the dolly there. Coulter-Nile c Washington Sundar b Stokes 6(5) [6s-1] ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Coulter-Nile, Stokes,out,out,Short,,backward point,edge,,"Catch out , washington sundar"
19.2," Stokes to Coulter-Nile, no run, slower delivery just outside off, Coulter-Nile is down on his knee to smack it out of Eden. Nowhere close to the ball as it sinks underneath the bat and goes on the bounce to Dhoni ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Coulter-Nile, Stokes,0,0,,off side,,,,
19.1," Stokes to Suryakumar Yadav, 1 run, full and on the stumps, flicked to deep mid-wicket ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Stokes,1,0,Full,stump line,mid-wicket,flick shot,,
18.6," Unadkat to Coulter-Nile, no run, off-pace delivery and Coulter-Nile swings with all his might to only connect with air ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Coulter-Nile, Unadkat,0,0,,,,,,
18.5," Unadkat to Coulter-Nile, SIX, Collision between Smith and Stokes. The latter straightaway calls for the physio. After crashing into Stokes, Smith goes bang into the ad boardings. Head first and it bounced off. Smith gets up and has a word with the physio. Seems to be fine. That looked brutal. Slower delivery from Unadkat and Coulter-Nile swung across the line towards deep mid-wicket. Stokes ran to his left and Smith ran to his right from long-on. Both were watching the ball and not each other. It was the Englishman who caught the ball, but once he dashed into Smith the flick back didn't go where he intended ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Coulter-Nile, Unadkat,6,0,,,mid-wicket,flick shot,,
18.4," Unadkat to Suryakumar Yadav, 1 run, wide yorker outside off, Suryakumar squeezes the drive to deep cover ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Unadkat,1,0,yorker,wide,deep cover,drive,,
18.3," Unadkat to Suryakumar Yadav, SIX, 14 off the first three balls. Unadkat is predictable and Suryakumar is toying with him, plants his front foot across the stumps, laps it over backward square, a better connection meant maximum result ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Unadkat,6,0,,,square,,,
18.2," Unadkat to Suryakumar Yadav, FOUR, lovely shot! The off-pace delivery and Suryakumar is playing with Unadkat, makes room and lofts it inside out over extra cover, no chance for the long-off fielder to cut that ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Unadkat,4,0,,,extra cover,cut shot,,
18.1," Unadkat to Suryakumar Yadav, FOUR, sweep shot off a pacer. You don't see that often. The slower delivery and Suryakumar spotted it very early, went across his stumps and broomed it over short fine ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Unadkat,4,0,Short,,short fine,sweep shot,,
17.6," Christian to Coulter-Nile, no run, welcome, mate. Aussie to Aussie. NCN has taken it right on the grille. 142kph short delivery and Coulter-Nile wanted to take it on, beaten by the pace and the ball crashed flush into the helmet. He removes it and Christian is the first to run-up and check on his countryman ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Coulter-Nile, Christian,0,0,Short,,,beaten,142.0,
17.5," Christian to Suryakumar Yadav, 1 run, short of length around off, Suryakumar backs away and punches to sweeper cover ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Christian,1,0,Short,,sweeper,,,
17.4,"Christian to Suryakumar Yadav, out Woakes Run Out!! 1 run completed. Dangerous thing to take on Smith and Woakes pays the price. Suryakumar bunts the length delivery to long-on, Smith was quick to swoop down on the ball and released it even quicker. The throw was right on top of the stumps, Christian had got back, collected the throw and light up the stumps. Even a full stretch from Woakes was not enough. Woakes run out (Smith/Christian) 1(3)",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav,Christian,out,out,Good,,long-on,,,"run out ,(Smith/Christian)"
17.3," Christian to Suryakumar Yadav, SIX, is it Suryakumar's night? Has been quiet in the tournament and has been in-and-out of the side as well. Picked the back of a length slower delivery, pivoted on his front leg and pulled it over deep square leg ",1st Inns,41st,Kolkata Knight Riders,Rising Pune Supergiant,"Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Sheldon Jackson(w), Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, Ben Stokes, MS Dhoni(w), Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Eden Gardens,Kolkata","May 03,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 4 wkts,Rahul Tripathi,RPS,field,KKR,RPS,Suryakumar Yadav, Christian,6,0,Back of Length,,deep square,pull shot,,
