ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Bumrah to Karthik, 2 runs, rare blip from Pollard and the duo scamper back for the second. A quick full toss which cramped Karthik for room, he miscues the heave to long-on. Roy wanted him to come for the third, but Karthik was still in the process of completing the second. In the end, he says no and GL end with 176 ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 19.5 ," Bumrah to Roy, 1 run, off-cutter outside off, Roy fetches it and pulls to long-on. That would have been a wide had he let that go ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 19.4 ," Bumrah to Karthik, 1 run, slower delivery around off, Karthik pushes it on the up towards extra cover, just a single ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 19.3 ," Bumrah to Roy, 1 run, another full toss and this time Roy misses out, mishits the drive to long-on ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 19.2 ," Bumrah to Roy, FOUR, low full toss and Roy thumps it down the ground. Goes deep and leg-side to free his arms, with mid-off in the ring, he just had to place it wide of him, which he does and collects four ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 19.1 ," Bumrah to Karthik, 1 run, Karthik premeditates, goes for the reverse scoop, the ball lobs off the glove and eludes a backtracking Parthiv. Really ambitious shot to attempt against Bumrah ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.6 ,"Malinga to Roy, SIX, why was Roy held back? Can someone tell me? Such power and timing he possesses. This was more power and the ball cleared Pollard with ease. Malinga misses the yorker length and Roy gets under that, though a miscue the ball still goes over long-on with ease. A rare off-day for Malinga, finishes with: 4-0-51-1",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.5 ," Malinga to Karthik, 1 run, yorker length on middle and leg, Karthik drives it down to long-on ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.4 ," Malinga to Roy, 1 run, full toss and Roy has missed out, that should have been in the stands. Goes full-throttle on the heave and mistimes it along the ground to deep mid-wicket ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.3 ," Malinga to Karthik, 1 run, very full and no way Karthik is getting under that, driven to mid-off for a quick single ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.2 ," Malinga to Roy, 1 run, slower full delivery and Roy watchfully works it to deep mid-wicket, back to Karthik ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.1 ," Malinga to Karthik, 1 run, very full and right at Karthik's toes, clipped to deep mid-wicket ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
 18.1 ," Malinga to Karthik, wide, Malinga put off by Karthik's moving around in the crease. The wicket-keeper starts by standing outside leg, then moves inside the line, Malinga fires the yorker down leg, bonus run for GL ",GL Inns,16t,Mumbai Indians,Gujarat Lions,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Kieron Pollard, Krunal Pandya, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Jason Roy, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, Praveen Kumar, Andrew Tye, Basil Thampi, Munaf Patel",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 16,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Nitish Rana,MI,field
