ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," McClenaghan to Narine, out Lbw!! Dead straight. Just that it goes onto the pad after smashing the bat. A yorker on the stumps, quite where he should have been right from the start. Narine tries hard in getting his bat down in digging it out. Almost does well in the end, gets right off the toe-end to ricochet onto his boot. Too quick for the umpire to spot it as well. Never mind. KKR finish with 178. Narine lbw b McClenaghan 1(2) ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,Narine, McClenaghan,out,out,yorker,stump line
19.5," McClenaghan to M Pandey, 1 run, jammed out. Squeezes out the wide one to third man. More importantly for Mumbai it gets Pandey off strike for the final assault ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,1,0,,wide
19.4," McClenaghan to M Pandey, FOUR, a full toss now. Nothing coming out right here. Tailing away and Pandey is more than glad to use the width in just tickling it past the keeper ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,4,0,Full,
19.3," McClenaghan to M Pandey, no run, yeah. Finally gets one to go where he wanted to. Fires it wide and full. Pandey for a change cannot get bat on ball with his dig out ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,0,0,Full,wide
19.2," McClenaghan to M Pandey, SIX, misses the mark yet again. A yorker attempted only to be missed by a cool few centimeters. Ample time for Pandey to settle himself under it as he hammers it over long-on. Just cannot keep it down ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,6,0,yorker,
19.2," McClenaghan to M Pandey, wide, dodges the yorker on the pads. Makes himself short and quickly jumps inside the line. Bowl it again MM ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,wide,1,yorker,wide
19.2," McClenaghan to M Pandey, no ball, FOUR, he oversteps and then bowls it in the arc as well. More of the sunken bat swings in intercepting the two men at the leg-side fence. Pandey with help here from the bowler giving KKR the final catapult. Free hit coming up ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,no ball,1+4,,
19.1," McClenaghan to M Pandey, SIX, the sitting up length. Right where he wanted to and with all the pace on it as well for it to be dealt with severity. A full-blooded pull and just the sound ensures the maximum ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, McClenaghan,6,0,Full,
18.6," Malinga to M Pandey, 1 run, drags the length back. And Pandey does his bit of keeping the strike with a mistimed guide to the man at 45 on the off-side ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, Malinga,1,0,,
18.5," Malinga to M Pandey, SIX, a sink, a swing and a crowd deposit. Picks out the predictable off-spinner and waits for the ball to get into his arc. Unleashes a full bat swing and goes through with it in holding the pose as he drills one several rows into the cow corner stands ",1st Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,KKR,MI,M Pandey, Malinga,6,0,Full,
