ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
18.5," Malinga to Rajpoot, out Bowled!! Three slower death rattles - Rajpoot hoodwinks the first two. But the third one lights up Chinnaswamy. Whoa, talk of the ball dipping. Gets it straight on the stumps this time does Malinga, gets it slow and right on the base. Nothing that can be done with it but play all around it and Kolkata come to a grinding halt. Rajpoot b Malinga 4(7) [4s-1] ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Malinga,out,out,,stump line
18.4," Malinga to Rajpoot, no run, and again. Oh the agony. It really couldn't get any closer. A slower yorker, just outside off and dips under the bat ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Malinga,0,0,yorker,off side
18.3," Malinga to Rajpoot, no run, oh the yorkers. The off-paced ones. Typically Malinga. A centimeter outside off and Rajpoot squeezes it out..way too soon though. The leather continues to evade wood ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Malinga,0,0,yorker,off side
18.2," Malinga to U Yadav, 1 run, 112kph. Closer to the body this time. And he gets himself off the hook with a whip through mid-wicket ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,U Yadav, Malinga,1,0,,
18.1," Malinga to U Yadav, no run, starts with a off-cutter. Pretty wide. Yadav's poke gets nothing in return ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,U Yadav, Malinga,0,0,,wide
17.6,"Bumrah to Rajpoot, no run, another peach of a yorker. Tailing in late but very tail-ender like, Rajpoot misses. What's better - the ball sneaks through the bat, the leg-stick and the pad. Oh dear",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot,Bumrah,0,0,yorker,
17.5," Bumrah to Rajpoot, no run, bumps it in. Rajpoot backs away for the uppish cut, misses ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Bumrah,0,0,,
17.4," Bumrah to Rajpoot, no run, opens his bat face and dabs it to point ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Bumrah,0,0,,
17.3," Bumrah to Rajpoot, FOUR, the perfect yorker. Right in the blockhole. Deserved nothing lesser than respect. Gets the boundary to its name instead. Rajpoot just about jams his bat down in the way, gets the inside edge and then banks on his luck to take it past the stumps ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,Rajpoot, Bumrah,4,0,yorker,
17.2," Bumrah to U Yadav, 1 run, squeezes it out to cover ",1st Inns,Qua,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Rohit Sharma(c), Ambati Rayudu, Kieron Pollard, Hardik Pandya, Krunal Pandya, Karn Sharma, Mitchell Johnson, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Ishank Jaggi, Suryakumar Yadav, Colin de Grandhomme, Nathan Coulter-Nile, Piyush Chawla, Umesh Yadav, Ankit Rajpoot",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 19,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,,MI,field,KKR,MI,U Yadav, Bumrah,1,0,,
