ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Hardik Pandya to Axar, SIX, full toss in Axar's arc and out of the park. Takes his right leg out of the line and sends it over the long-on fence ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Axar, Hardik Pandya,6,0,Full,,long-on,,,
19.5," Hardik Pandya to Saha, 1 run, so Saha won't get his ton tonight. Unless there is a no-ball that yields a single. Was early on the pull this time and popped it off the face of the bat towards the man at mid-off ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, Hardik Pandya,1,0,,,mid-off,pull shot,,
19.4," Hardik Pandya to Saha, no run, goes wide of the crease and angles the yorker outside off. Saha fails to squeeze that out ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, Hardik Pandya,0,0,yorker,wide,,,,
19.4," Hardik Pandya to Saha, wide, too wide outside off. Does not want to get close to Saha who has been prolific on the on-side, wided ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, Hardik Pandya,wide,1,,wide,,wide,,
19.3," Hardik Pandya to Axar, 1 run, nice to see Pandya enquire Axar about his well being there. Short ball that is too quick for Axar, beats his bat and bangs the helmet before popping towards gully. Given as runs but there was no top edge on that ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Axar, Hardik Pandya,1,0,Short,,gully,edge,,
19.2," Hardik Pandya to Saha, 1 run, Pandya gets the yorker right. Saha drills down the ground. Saha needs 8 for his ton but he is off strike as of now ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, Hardik Pandya,1,0,yorker,,,,,
19.1," Hardik Pandya to Saha, SIX, full toss. Saha loves that. Clears the front leg and muscles it over the deep square leg fence ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, Hardik Pandya,6,0,Full,,deep square,,,
18.6," McClenaghan to Axar, no run, just 7 runs off the over. Axar makes room but the ball is too full outside off. Fails to judge the line and leaves thinking it as a wide ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Axar, McClenaghan,0,0,Full,off side,,leave,,
18.5," McClenaghan to Saha, 1 run, Saha leaves his crease and makes room while doing so. Is followed by a fullish ball. Drills towards long-on ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, McClenaghan,1,0,Full,,long-on,leave,,
18.5," McClenaghan to Saha, wide, well down the leg-side. Saha wants to scoop it over the keeper but it is well away from his reach ",1st Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,PBKS,MI,Saha, McClenaghan,wide,1,,wide,keeper,wide,,
