ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Bumrah to Bhuvneshwar, 1 run, full toss, Bhuvi had only so much power, could it only get it as far as deep mid-wicket ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Bhuvneshwar, Bumrah,1,0,Full,,mid-wicket,
19.5," Bumrah to Bhuvneshwar, 2 runs, muscles it over mid-wicket and wants two, Nehra responds in kind ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Bhuvneshwar, Bumrah,2,0,,,mid-wicket,
19.4," Bumrah to Rashid Khan, out Caught&Bowled!! Bumrah says ""It's mine"" and he makes no mistake. Charges out of his crease and clatters it, nowhere off the middle, it hung in the air for long and Bumrah had it covered. Caught it around the cover region. Rashid Khan c and b Bumrah 2(4) ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Rashid Khan, Bumrah,out,out,,,cover,
19.3," Bumrah to Bhuvneshwar, 1 run, clears his front leg and thumps it as hard as he can, mid-off dives to his right and denies him a boundary ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Bhuvneshwar, Bumrah,1,0,,,mid-off,
19.2," Bumrah to Rashid Khan, 1 run, fuller and wider, Rashid Khan toe-ends the drive wide of mid-off ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Rashid Khan, Bumrah,1,0,Full,wide,mid-off,off drive
19.1," Bumrah to Naman Ojha, out Caught by Pollard!! The wickets keep tumbling. Slower ball, in right-hander's swinging arc, Ojha got under it but he didn't give it a full whack. Relies on timing and chips it high into the night sky, Pollard is safe as a house at long-on. Naman Ojha c Pollard b Bumrah 9(9) ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Naman Ojha, Bumrah,out,out,Full,,long-on,
18.6," Malinga to Naman Ojha, 1 run, toe-crusher, Ojha squeezes it off the inside half to square leg ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Naman Ojha, Malinga,1,0,,,square leg,
18.5," Malinga to Naman Ojha, 2 runs, wristy work, gets it into the gap at mid-wicket and comes rushing back for the second ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Naman Ojha, Malinga,2,0,,,mid-wicket,
18.4," Malinga to Rashid Khan, leg byes, 1 run, winds up for the slog, deceived by the lack of pace, wears it on the pads ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Rashid Khan, Malinga,byes,1,,stump line,,slog shot
18.3," Malinga to Naman Ojha, 1 run, they are not picking his slower ones, a tame effort to chip Malinga down the ground, all he could do was chip it over his head ",1st Inns,10t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Naman Ojha(w), Ben Cutting, Bhuvneshwar Kumar, Rashid Khan, Ashish Nehra, Mustafizur Rahman",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 12,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Jasprit Bumrah,MI,field,SRH,MI,Naman Ojha, Malinga,1,0,,,,
