ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
17.1,"Mohit Sharma to Nadeem, out Caught&Bowled!! DD have been bundled out for their lowest score in IPL - the 10th edition is bringing in some unwanted records for teams. First it was RCB - now it's the DD. Slower ball from Mohit, Nadeem didn't read it at all, popped his bat forward, closed the face on the tuck, got a leading edge and it's an absolute dolly to the bowler. Not sure if the Mohali crowd enjoyed the show from DD - you don't want to watch a mismatch after having paid big money for the tickets. Nadeem c and b Mohit Sharma 0(1)",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Nadeem,Mohit Sharma
16.6,"Aaron to Shami, out Caught by Sandeep Sharma!! Dravid looks distraught in the dug-out as another batsman self combusts. Can't blame Shami though, DD needed some quick runs, but there's nothing coming today. This was short and wide of off, asking to be smacked. Shami had the right idea, he was looking to crack it over point, but the execution went all awry. Ends up getting too underneath the ball and flat-bats it in the air, Sandeep circled around the skier from cover. Thought about going reverse cupped, decides against it and takes it in the normal way. Shami c Sandeep Sharma b Aaron 2(4)",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Shami,Aaron
16.5," Aaron to Shami, no run, short and well outside off, Shami was looking to help it on its way and missed ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Shami, Aaron
16.4," Aaron to Mishra, 1 run, full and on Mishra's pads, flicked away towards long leg for a single ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Mishra, Aaron
16.3," Aaron to Mishra, no run, short and wide from Aaron, cut away straight to the fielder at backward point ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Mishra, Aaron
16.2," Aaron to Mishra, no run, short of a good length and just outside off, looked like it stopped on Mishra. He was early on the flick and nearly popped a catch to mid-wicket ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Mishra, Aaron
16.1," Aaron to Shami, 1 run, back of a length and just outside off, steered away behind square on the off-side for a single ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Shami, Aaron
15.6," Sandeep Sharma to Mishra, no run, on a good length and just outside off, driven straight to the fielder at mid-off. That ends Sandeep's work with the ball today, he finishes with career-best figures of 4 for 20 ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Mishra, Sandeep Sharma
15.6," Sandeep Sharma to Mishra, wide, the back of the hand slower ball from Sandeep, Mishra thinks about playing at that but lets it go at the last moment, called as a wide ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Mishra, Sandeep Sharma
15.5," Sandeep Sharma to Shami, 1 run, fuller length delivery on Shami's pads, clipped away in front of square on the on-side for a single ",1st Inns,36t,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Delhi Daredevils (Playing XI): Sam Billings, Sanju Samson, Karun Nair(c), Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Chris Morris, Kagiso Rabada, Amit Mishra, Shahbaz Nadeem, Mohammed Shami",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 30,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 10 wkts,,PBKS,field,DD,PBKS,Shami, Sandeep Sharma
