ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Basil Thampi to Axar, 2 runs, full, Axar smacks it straight to long-on and keeps running without caring who's fielding and where the ball went. Makes it with a bullet-esque drive to complete the second, the throw wasn't a great one either ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Axar, Basil Thampi,2,0,Full,,straight,straight drive,,,201747
19.5," Basil Thampi to Amla, out Lbw!! Some respite, finally. A yorker that tails in a bit around middle and leg, Amla with his back leg deep inside, looking to swing over mid-wicket. Misses due to the dip and is caught plumb in front. Raina walks up to him to congratulate what has been a tremendous ton from one of the modern greats. Amla lbw b Basil Thampi 104(60) [4s-8 6s-5] ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Basil Thampi,out,out,yorker,,mid-wicket,beaten,,"Catch out , Basil Thampi",201747
19.4," Basil Thampi to Amla, SIX, second hundred this season, mighty Hash has done it on the big stage! Gets a handshake and a hug from his skipper. Cross-seam full delivery wide of off, Amla goes inside-out over extra cover. Crunnnnched off the meat ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Basil Thampi,6,0,Full,wide,extra cover,,,,201747
19.3," Basil Thampi to Maxwell, 1 run, yorker in the blockhole, Maxwell slogs as hard as he can, off the toe-end towards long-on ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Basil Thampi,1,0,yorker,,long-on,defend,,,201747
19.2," Basil Thampi to Amla, 1 run, slower back of a length delivery, Amla swivels and drags the pull to the right of deep backward square ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Basil Thampi,1,0,Back of Length,,deep backward square,pull shot,,,201747
19.1," Basil Thampi to Amla, FOUR, low full toss and Amla smashes it away over extra cover. Just a hit away now ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Basil Thampi,4,0,Full,,extra cover,,,,201747
18.6," Sangwan to Maxwell, no run, tries the reverse paddle and misses it completely ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Sangwan,0,0,,,,beaten,,,201747
18.5," Sangwan to Maxwell, SIX, mishit? Who cares? It has gone for a six. Maxi, you beast! What power! He looked to have mistimed this full delivery, went for the loft, but the only thing that could have taken that over the long-on fence is his power ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Sangwan,6,0,Full,,long-on,,,,201747
18.4," Sangwan to Maxwell, SIX, short and in the swinging arc, Maxwell loads up and hacks it away over deep mid-wicket ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Sangwan,6,0,Short,,mid-wicket,,,,201747
18.3," Sangwan to Amla, 1 run, presents the full face as he drives a full ball to long-off ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Sangwan,1,0,Full,,long-off,off drive,,,201747
18.2," Sangwan to Maxwell, 1 run, short ball, Maxi takes it on and brings out the pull. Fiercely struck, but off a thick top-edge, it drops between long-on and long-off ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Sangwan,1,0,Short,,long-on,edge,,,201747
18.1," Sangwan to Maxwell, 2 runs, Maxi getting into his groove. Clears his front leg and clubs a full ball, it falls just short of Faulkner coming in from long-off. The timing....um! Not quite ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Sangwan,2,0,Full,,long-off,,,,201747
17.6," Faulkner to Amla, 2 runs, slices the drive and it lands just short of the man coming in from sweeper cover. Sangwan had his body covered, a slight fumble and he lost the sight of the ball which gave room for an extra run ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Amla, Faulkner,2,0,Short,,sweeper,drive,,,201747
17.5," Faulkner to Maxwell, 1 run, perfect execution of the yorker, Maxwell jams it to long-on ",1st Inns,47th,Kings XI Punjab,Gujarat Lions,"Kings XI Punjab (Playing XI): Hashim Amla, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Gurkeerat Singh Mann, Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan","Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 07,2017",Gujarat Lions have won the toss and have opted to field,Gujarat Lions won by 6 wkts,Dwayne Smith,GL,field,PBKS,GL,Maxwell, Faulkner,1,0,yorker,,long-on,cut shot,,,201747
