ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Rajpoot to Rahul Tewatia, 1 run, ends proceedings with a bullet tailing in on the base of the sticks. Jammed out and just walks across. So, 167 is what Punjab manage ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Rajpoot,1,0,,stump line,,,,,201749
19.5," Rajpoot to Rahul Tewatia, FOUR, hunts the fence. Much needed this for the Punjabis. Takes it off the pads and brings out the broom as he sweeps it this away ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Rajpoot,4,0,,,,,,,201749
19.4," Rajpoot to Axar, leg byes, 1 run, pings the pad again. Another slower cutter and foxes Axar. Just the extra with the ball lobbing past the pitch ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Axar, Rajpoot,byes,1,,,,cut shot,,,201749
19.3,"Rajpoot to Rahul Tewatia, leg byes, 1 run, slows it up. A cunning appeal to distract the umpire as well. All he manages in the end is for the umpire to miss the leg bye and concede runs against his name. No, he changes his decision after that. Okay, pitching well down leg, striking leg and missing leg as well. After an early early pull",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia,Rajpoot,byes,1,,,,beaten,,,201749
19.2," Rajpoot to Axar, 1 run, another full wide liner. Smashed down to long-off, once again off a sunken pose. Two balls, two singles ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Axar, Rajpoot,1,0,Full,wide,long-off,,,,201749
19.1,"Rajpoot to Rahul Tewatia, 1 run, slanting across on the fuller side. Refuses to allow Tewatia to get under this one as he has to make his peace with an inside edge on the slog to square leg",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia,Rajpoot,1,0,Full,,square leg,edge,,,201749
18.6," Woakes to Rahul Tewatia, 1 run, follows it up with a perfect yorker. Too good for anything but a jam out off the toe end to the keeper ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Woakes,1,0,yorker,,keeper,,,,201749
18.5," Woakes to Rahul Tewatia, FOUR, spots the slower off-cutter. And ensures to dispatch it away. Tries to fox him with the loopy bouncer here does Woakes but a walk across to pull it past the man at short fine does the job ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Woakes,4,0,Short,,short fine,pull shot,,,201749
18.4," Woakes to Rahul Tewatia, FOUR, for some reason switches to a half volley. Tewatia, waits, buries and meets it with a full-blooded lofted drive through extra cover ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Woakes,4,0,Full,,extra cover,cover drive,,,201749
18.3," Woakes to Rahul Tewatia, no run, keeps it on the shorter side with the lines denying the room. Failed connection in welcome ",1st Inns,49th,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Sandeep Sharma, Swapnil Singh","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Colin de Grandhomme, Yusuf Pathan, Chris Woakes, Umesh Yadav, Kuldeep Yadav, Ankit Rajpoot",,,IPL,2017,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 09,2017",Kolkata Knight Riders have won the toss and have opted to field,Kings XI Punjab won by 14 runs,Mohit Sharma,KKR,field,PBKS,KKR,Rahul Tewatia, Woakes,0,0,Short,,,,,,201749
