ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
19.6," Malinga to Amla, 1 run, full and straight, Amla uses his wristpower to flick it away through mid-wicket ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.5," Malinga to Axar, 1 run, in the blockhole zone, Axar jams the drive to the right of the bowler. A quick single ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.4," Malinga to Axar, 2 runs, tailing in towards the pads, Axar hacks it through mid-wicket ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.3," Malinga to Amla, 1 run, fuller on middle and leg, Amla flicks square ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.2," Malinga to Amla, SIX. First T20 hundred for Hashim Amla. What.A.Player. He posts a leg-side rubbish into the fine leg stands with a clean wallop. Sigh! ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.1," Malinga to Amla, SIX, short ball, Amla clatters the pull off the top-edge, over the keeper's head but who cares? It's a six ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
19.1," Malinga to Amla, wide, theatrical acting from PP as he appeals for a strangle down leg. ""That's acting at its best to be generous,"" says Scotty Styris. Length ball down leg, Amla misses the flick ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
18.6," Bumrah to Axar, no run, yorker, spearing into the blockhole, dug out back to the bowler ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
18.6," Bumrah to Axar, wide, slower and wider of off, has to reload ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
18.5," Bumrah to Amla, 1 run, fuller, Amla powers to mid-off and moves into the 90s ",1st Inns,22n,Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 20,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Jos Buttler,MI,field
