ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6,"Sandeep Sharma to Manoj Tiwary, 1 run, another top yorker. Proceedings end with a sense of calm restored. Dug out to long-on off the under half of the bat and has to make his peace with just a single. 163 is what Pune manage",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
19.5,"Sandeep Sharma to Christian, out Caught by Maxwell!! Shovels it to his doom. Only after having done his job to perfection. Sandeep gets the yorker right and Christian gets his bat down off a massive backlift in shovelling it out. Not quite the elevation this time with the ball flying down to long-on. Christian c Maxwell b Sandeep Sharma 17(8) [4s-2 6s-1]",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
19.4," Sandeep Sharma to Christian, SIX, a switch to over the wicket makes no difference. Pounds it short, pounds it wide and Christian unleashes the mighty forehand smash. The concrete on the stands taking a real beating here ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
19.3," Sandeep Sharma to Christian, FOUR, more of the same. The ploy here from Sandeep refuses to change and Christian too refuses to stand up on his feet against this length. Does all he can to get under the ball and keeps his bat on the scoop. This time right over the keeper ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
19.2," Sandeep Sharma to Christian, FOUR, oh dear. Spots Christian running inside and fires one way down leg. Christian with his stalking eyes always on the ball gets his bat out on the horizontal swiping mode and scoops it away ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
19.1," Sandeep Sharma to Manoj Tiwary, 1 run, fired in from wide of the crease, Into the blockhole. Squeezed away into the on-side ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
18.6," Mohit Sharma to Manoj Tiwary, 1 run, another slower sucker ball. This time Tiwary is foxed with his timing to come out right. Mows it down the ground ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
18.5,"Mohit Sharma to Manoj Tiwary, FOUR, a real drag down. The Mohit slower back hander but half way down the ground. All the time for the adjustment and Tiwary does it in executing his crouched pull. Axar did get a hand in his stretch at the fence, the power imparted was enough to burst through a wall though",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
18.4,"Mohit Sharma to Christian, 1 run, back to the fuller side. Back to the middle stump line as well. A powered hack off the inside half of the bat to a sliding Vohra at deep square. On the bounce",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
18.3," Mohit Sharma to Manoj Tiwary, 1 run, the short pepper. A nice uncomfortable height as Tiwary hooks it away. Well controlled in the end ",1st Inns,4th,Kings XI Punjab,Rising Pune Supergiant,"Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Wriddhiman Saha(w), Glenn Maxwell(c), David Miller, Marcus Stoinis, Axar Patel, Swapnil Singh, Mohit Sharma, Sandeep Sharma, T Natarajan","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Ben Stokes, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Rajat Bhatia, Rahul Chahar, Imran Tahir, Ashok Dinda",,,IPL,2017,"Holkar Cricket Stadium,Indore","Apr 08,2017",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Glenn Maxwell,PBKS,field,RPS,PBKS
