ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Watson to Axar, no run, finally gets one in the blockhole. However, the damage has been done, 19 runs off the over and KXIP have the momentum. Kohli is not happy. He's shaking his head while trudging off the field. Yorker right on the stumps, Axar can only dig it back to Watson ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,0,0,yorker
19.5," Watson to Axar, 2 runs, another couple for Axar. Full and outside off, Axar lifts it over extra cover. By the time Kohli got across and threw the ball, the pair were back for the second ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,2,0,Full
19.5," Watson to Axar, wide, Watson under pressure. Fired it well outside off and Axar need not play at those ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,wide,1,
19.4," Watson to Axar, FOUR, turning out to be just the over KXIP needed. Kohli is furious at long-off. Kicks the ball back onto the ad boardings. Pitched up and Axar slams it straight down the ground. No chance for Kohli at long-off ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,4,0,
19.3," Watson to Axar, FOUR, Axar seems to be having no problems on a surface where others have struggled. Short delivery on leg-stump, Axar pivots on his front leg and pulls it backward of square, couple of bounces and into the fence. 12 off the first three balls ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,4,0,Short
19.2," Watson to Axar, 2 runs, very full and drifted outside off, Axar bends down and slices the drive behind square on the off-side. Long chase for Chahal and gets there with a slide, saved a couple ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,2,0,Full
19.1," Watson to Axar, SIX, massive hit! Makes a dent on the ad hoardings on the roof. Right in the arc - length delivery and outside off, Axar clears his front leg and heaves it all the way over long-on. Needs to play all the six balls ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Axar, Watson,6,0,Good
18.6," Aniket Choudhary to Aaron, no run, wicket-maiden! You don't see that often in T20 cricket. But Aniket is deserved it. He's bowled well tonight and ends with figures: 4-1-17-2. Slanted across the right-hander and Aaron can't connect with his wild swing ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Aaron, Aniket Choudhary,0,0,
18.5," Aniket Choudhary to Aaron, no run, five dots. Banged in halfway down and Aaron was backing away while playing the pull. Nowhere close to the ball and Aniket is close to bowling a maiden over ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Aaron, Aniket Choudhary,0,0,
18.4," Aniket Choudhary to Aaron, no run, good change up. Bumper right at the batsman, Aaron had moved to the leg-side and attempts a late pull shot, beaten on the top edge. Another dot for Aniket ",1st Inns,43r,Royal Challengers Bangalore,Kings XI Punjab,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Kedar Jadhav(w), Shane Watson, Pawan Negi, Sreenath Aravind, Samuel Badree, Aniket Choudhary, Yuzvendra Chahal","Kings XI Punjab (Playing XI): Martin Guptill, Hashim Amla, Manan Vohra, Shaun Marsh, Glenn Maxwell(c), Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, T Natarajan",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","May 05,2017",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,RCB,field,PBKS,RCB,Aaron, Aniket Choudhary,0,0,Good
