ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.5,"Unadkat to Ankit Soni, out Bowled!! GL are bowled out with a ball to spare. The slower ball is too good for Soni. He gives a mighty swing and connects thin air. The ball cannons onto the stumps and the Lions finish on 161. Ankit Soni b Unadkat 0(1)",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Ankit Soni,Unadkat,out,out,Good,,
19.4,"Unadkat to Basil Thampi, out Karthik Run Out!! This time MS doesn't miss and his opposite number is well short. Thampi looks to heave this length ball through mid-wicket and misses. MS, who had his right glove taken off, collects it and finds the target direct. OUT by a long way. Karthik run out (Dhoni) 29(26) [4s-3]",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Basil Thampi,Unadkat,out,out,Short,,mid-wicket
19.3," Unadkat to Karthik, leg byes, 1 run, TV umpire called for a run-out query, Thampi makes it. Karthik gets low and fails to connect attempting the paddle-scoop. He his hit on the boot. The impact might be marginally outside off. Dhoni collects it and fires an underarm throw. Thampi just about manages to make it ",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Karthik, Unadkat,byes,1,,off side,
19.2,"Unadkat to Karthik, FOUR, improvisation at its best. Reverses his stance even before the ball is delivered and brooms it away between short third man and backward point",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Karthik,Unadkat,4,0,Short,,short third man
19.1," Unadkat to Basil Thampi, 1 run, short of length delivery, a mistimed pull to backward square leg ",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Basil Thampi, Unadkat,1,0,Short,,square leg
18.6," Stokes to Karthik, no run, attempts the scoop shot and fails to make contact as he was beaten by the lack of pace on this delivery ",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Karthik, Stokes,0,0,,,
18.5,"Stokes to Karthik, FOUR, much needed boundary. Another slower delivery, Karthik dances down and heaves it away into the deep square leg fence",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Karthik,Stokes,4,0,,,deep square
18.4," Stokes to Karthik, 2 runs, good running between the wickets. Off-pace delivery, Karthik wrists it through mid-wicket and runs hard ",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Karthik, Stokes,2,0,Good,,mid-wicket
18.3,"Stokes to Basil Thampi, 1 run, ah! Thampi somehow managed to squirt it away. He came down the ground and yorked himself. Gets it off the inside part of the bat and nabs a single as the ball rolls on the on-side",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Basil Thampi,Stokes,1,0,,,
18.2," Stokes to Basil Thampi, no run, wow! And again, Thampi is beaten by pace. In the blockhole, the ball kept curling in. Evades the leg-stump and settles into the mitts of MS ",1st Inns,39t,Rising Pune Supergiant,Gujarat Lions,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir","Gujarat Lions (Playing XI): Ishan Kishan, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dwayne Smith, Dinesh Karthik(w), Ravindra Jadeja, James Faulkner, Ankit Soni, Pradeep Sangwan, Basil Thampi",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","May 01,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 5 wkts,Ben Stokes,RPS,field,GL,RPS,Basil Thampi, Stokes,0,0,,,
