ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Dinda to Hardik Pandya, byes, 1 run, Pandya has missed out on a full toss. It was outside off and he went a bit too hard on the slash, only connected with thin air and McClenaghan called him through for a run. Dhoni broke the stumps at the striker's end but McClenaghan was home ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,byes,1,Full
19.6," Dinda to Hardik Pandya, wide, out Southee Run Out!! Where was Southee going? He might have thought that it was the last ball of the innings, but Pandya was sure that it was a wide and there would be an extra delivery. Dinda fires it outside off, Pandya can't reach it and Southee was at the other end by the time Pandya could react. Dhoni lobbed it to Dinda, who took care of the rest. The third umpire checks if the batsmen had crossed, Pandya got his back foot in before Southee could reach the crease. It's touch and go, but Pandya will cling on to the strike. Southee run out (Dhoni/Dinda) 7(3) [6s-1] ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,wide,1,
19.5," Dinda to Hardik Pandya, SIX, Smith has a worried look as Pandya sends another one crashing over the rope. Switched to back of a length and the result remained the same, Pandya went back and nailed it over wide long-on. Pinged the ad hoarding on the full ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,6,0,Back of Length
19.4," Dinda to Hardik Pandya, FOUR, four more. Already 22 off the over. A game-changing over this. Fifty up for Dinda. Full and wide outside off, Pandya throws the kitchen sink at that and the outside edge flies wide of Dhoni ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,4,0,Full
19.3," Dinda to Hardik Pandya, SIX, make it four in a row. Dinda and death overs are not the best of mates. He goes full and misses the yorker by a couple of inches, Pandya had enough to get under that and smack it over long-on ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,6,0,Full
19.2," Dinda to Hardik Pandya, SIX, Dinda attains normal services. Three sixes in a row. Pandya getting into the thick of things. Length delivery and Pandya dismisses it over long-off. Just stood there and dispatched it with disdain ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,6,0,Good
19.1," Dinda to Hardik Pandya, SIX, consecutive sixes for MI. Dinda missed his yorker by a few inches and is launched into the crowd. Low full toss outside off, Pandya keeps a firm base and carves it over point. Went a long way back into the stands ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Dinda,6,0,yorker
18.6," Stokes to Southee, SIX, Southee nails this. He should have tried this shot on the previous ball. Once again gets his front leg out of the way to give him a free swing, Stokes makes his job easier by bowling a length delivery, tonked straight back over Stokes for a maximum ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Southee, Stokes,6,0,Good
18.5," Stokes to Southee, no run, Southee wanted to send it into orbit. He stood in his crease, cleared his front leg and heaved it with all his might, but the slowness deceived him and all he could manage was an under-edge to Dhoni, goes on the bounce ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Southee, Stokes,0,0,
18.4," Stokes to Hardik Pandya, 1 run, very full and outside off, Pandya squeezes the drive square on the off-side ",1st Inns,2nd,Rising Pune Supergiant,Mumbai Indians,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Mayank Agarwal, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Rajat Bhatia, Deepak Chahar, Adam Zampa, Imran Tahir, Ashok Dinda","Mumbai Indians (Playing XI): Rohit Sharma(c), Parthiv Patel(w), Ambati Rayudu, Kieron Pollard, Nitish Rana, Jos Buttler, Hardik Pandya, Krunal Pandya, Mitchell McClenaghan, Tim Southee, Jasprit Bumrah",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 7 wkts,Steven Smith,RPS,field,MI,RPS,Hardik Pandya, Stokes,1,0,Full
