ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," SN Thakur to Henriques, 1 run, good finish from Thakur, finds the blockhole with a perfect yorker on middle, Henriques jams it out and squeezes a single. SRH finish with 176 ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 19.5 ," SN Thakur to Henriques, FOUR, back-to-back boundaries for Henriques, this was full and on the stumps, Henriques was backing away, plays with an open face and finds the gap behind square on the off-side, no one moved ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 19.4 ," SN Thakur to Henriques, FOUR, nicely bowled but even better played by Henriques, raises his fifty as well. Thakur saw Henriques backing away, followed him with a full ball. Henriques makes room, plays with an open face and drives it through cover, no need to run for those ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 19.3 ," SN Thakur to Deepak Hooda, 1 run, short of a good length and just outside off, flat-batted drive to deep cover, just a single ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 19.2 ," SN Thakur to Deepak Hooda, FOUR, cheeky and four, this was slower bouncer from Thakur. Hooda waits on it and ramps it over Dhoni's head, third man was inside the ring and the ball rolls away to the fence ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 19.1 ," SN Thakur to Henriques, 1 run, good start from Thakur, follows Henriques as he backed away, kept it very full as well, pushed towards long-on ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 18.6 ," Unadkat to Henriques, leg byes, 1 run, good comeback from Unadkat, switches back to over the wicket and follows Henriques with a short ball on his body, he was early on the pull and missed, sneaks in a quick leg-bye ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 18.5 ," Unadkat to Henriques, SIX, cracking shot, this was the slower short ball from Unadkat, Henriques spotted it early, waited on it and slaps it high and over deep mid-wicket, went a long way into the stands. SRH are finishing well here ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 18.4 ," Unadkat to Deepak Hooda, 1 run, Unadkat gets away with this one, length delivery on Hooda's pads, he went hard on the flick, gets an inside edge that drops well in front of short fine ",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
 18.3 ,"Unadkat to Deepak Hooda, SIX, massive, Unadkat misses his mark, offers a length delivery on the stumps, Hooda gets underneath it and sends it high and over long-on, hits the roof of the second tier and bounces back into the ground",SRH Inns,24t,Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 22,2017",Rising Pune Supergiant have won the toss and have opted to field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,RCB,bat
