ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Zaheer to Henriques, 1 run, slower short of length delivery, Henriques knocks it towards point and has to be content with a single. Big final over from Zak, leaked 17 runs off it and SRH end with 191 ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Zaheer,1,0,Short,,point,,,,201721
19.5," Zaheer to Henriques, FOUR, Zaheer wanted the yorker, but instead offers a full delivery, Henriques lofts it straight back down the ground, no chance for the man at long-off to cut that off ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Zaheer,4,0,yorker,,straight,cut shot,,,201721
19.4," Zaheer to Henriques, FOUR, charges down and even though Zaheer digs it in short, Henriques pulls with a full pivot of the front leg, split deep mid-wicket and deep square leg to perfection ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Zaheer,4,0,Short,,mid-wicket,pull shot,,,201721
19.3," Zaheer to Deepak Hooda, 1 run, short of length delivery and Hooda pulls it on the bounce to deep mid-wicket ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Deepak Hooda, Zaheer,1,0,Short,,mid-wicket,pull shot,,,201721
19.2," Zaheer to Deepak Hooda, SIX, crack! That was the sound when ball made contact with the bat. A gift from Zaheer and Hooda takes full toll, full toss on the pads, Hooda swings hard and dispatches it over deep square leg ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Deepak Hooda, Zaheer,6,0,Full,stump line,deep square,,,,201721
19.1," Zaheer to Henriques, 1 run, low full toss outside off, Henriques goes hard on the drive and the outside edge rolls to short third man. Mishra has a needless shy at the stumps and Billings does well backing up ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Zaheer,1,0,Full,off side,short third man,edge,,,201721
18.6," Chris Morris to Henriques, 1 run, another very full delivery and not many batsmen can get under that, jammed out to long-on. The initial call was for two, but they settle with one. Morris ends a fine spell, 4-0-26-4 ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Chris Morris,1,0,Full,,long-on,,,,201721
18.5," Chris Morris to Deepak Hooda, 1 run, very full and around off, Hooda directs the squeeze towards backward point ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Deepak Hooda, Chris Morris,1,0,Full,,backward point,,,,201721
18.4," Chris Morris to Henriques, 1 run, push-driven to extra cover, quick single taken ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Henriques, Chris Morris,1,0,,,extra cover,cover drive,,,201721
18.3," Chris Morris to Deepak Hooda, 1 run, Hooda negotiates the hat-trick ball comfortably. Gets forward and eases the full delivery to long-off ",1st Inns,21st,Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 19,2017",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,SRH,bat,SRH,DD,Deepak Hooda, Chris Morris,1,0,Full,,long-off,,,,201721
