ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6,"Coulter-Nile to Yuvraj, out Williamson Run Out!! 1 run completed. What was Yuvraj Singh doing there? Could have attempted the second run, instead puts his arm up, Kane was halfway down the pitch and had no chance. Didn't take the first run briskly and that is why Yuvi said no. Every run is important in this form of the game. Games are won and lost even by a margin of 1 run. Looked like he never was keen for the second. Yorker on the stumps, Yuvraj flicks into the vacant mid-wicket region, could have been two if he was a little quicker, the bowler had to run all the way to mid-wicket, he did well to fire an accurate throw to the keeper. Williamson run out (Coulter-Nile/Uthappa) 40(25) [4s-5]",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Yuvraj,Coulter-Nile,out,out,yorker,stump line,down the pitch,flick shot
19.5,"Coulter-Nile to Williamson, 1 run, slower short ball, Williamson mistimes the pull to deep mid-wicket",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson,Coulter-Nile,1,0,Short,,mid-wicket,pull shot
19.4," Coulter-Nile to Williamson, no run, low full toss, hit back to the bowler, who does very well to stop the ball ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Coulter-Nile,0,0,Full,,,
19.3," Coulter-Nile to Williamson, 2 runs, Yusuf kept busy again, this time Williamson flicks to his left, he got a good bounce to make his life easy. Williamson takes a moment to get his breath back ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Coulter-Nile,2,0,Good,,,flick shot
19.2," Coulter-Nile to Williamson, 2 runs, fullish and on the off stump, Williamson glances it fine, Yusuf manages to stop the ball ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Coulter-Nile,2,0,Full,off side,,glance
19.1," Coulter-Nile to Yuvraj, 1 run, dropped, easy chance. NCN almost killed the fielder with that stare. Sheldon Jackson it was. Shortish and on the leg stump, Yuvraj flicks in a whippy manner, Jackson ran to his left slightly and covered the distance nicely, looked like he'd easily catch it but it popped out ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Yuvraj, Coulter-Nile,1,0,Short,stump line,,flick shot
18.6," Woakes to Williamson, FOUR, cheeky from Kane! Moved right across the stumps and paddled that, didn't middle it, got a bit of an edge, but that was good enough, short fine leg had no chance. 200 up for Hyderabad ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Woakes,4,0,Good,,short fine leg,edge
18.5," Woakes to Williamson, FOUR, how did he manage to hit that so well. Good slower ball bouncer, Williamson got into an awkward position to scoop that, went through with that shot and it bounced inside the rope ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Woakes,4,0,Good,,,
18.4," Woakes to Williamson, 2 runs, what a ball and well played. Inswinging yorker on the stumps, Williamson flicks it away into the on-side and he comes back two ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Woakes,2,0,yorker,stump line,,flick shot
18.3," Woakes to Williamson, FOUR, that movement across the stumps was playing on the bowler's mind, he tried to bowl full and wide outside off stump again, Williamson stays put, lofts handsomely to the right of mid-off ",1st Inns,37t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Bipul Sharma, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Mohammed Siraj","Kolkata Knight Riders (Playing XI): Sunil Narine, Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Sheldon Jackson, Yusuf Pathan, Colin de Grandhomme, Nathan Coulter-Nile, Chris Woakes, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","Apr 30,2017",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 48 runs,David Warner,KKR,field,SRH,KKR,Williamson, Woakes,4,0,Full,wide,mid-off,
