ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ,"S Kaul to Washington Sundar, byes, 1 run, Sundar tries to be adventurous, walks across his sticks and looks to play the scoop. Kaul bowls it full and wide of off, he fails to connect. They sneak in a bye as Ojha misses his target",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 19.5 ,"S Kaul to Washington Sundar, no run, rushes Sundar with this shortish delivery at the body, Sundar went for the pull but is too late. Mistimes it into the on-side",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 19.4 ," S Kaul to SN Thakur, out Caught by Warner!! Safe as houses. If Davy Warner is in the vicinity, you can tuck your arms and walk off. You will rarely see him put a catch down. Two in two for Kaul and he is on a hat-trick. Looked like the slower ball, hurled it wide of off, Thakur meekly chipped it down the ground. Finds long-off and the SRH skipper calmly gobbles it up. SN Thakur c Warner b S Kaul 0(1) ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 19.3 ,"S Kaul to Dhoni, out Caught by Naman Ojha!! End of Dhoni blitz. But he has done the damage. Very full ball on the stumps, Dhoni swung hard at that, fails to find the sweet spot. Some curl in the air must've done him. Edges it behind and Ojha makes no mistake. Dhoni c Naman Ojha b S Kaul 31(21) [4s-2 6s-2]",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 19.2 ," S Kaul to Dhoni, FOUR, such a calculative shot from Dhoni. Kaul angled this slower ball outside off, Dhoni throws his bat to his fullest and gets it over point. Not off the middle but he won't mind ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 19.1 ," S Kaul to Washington Sundar, 1 run, slanted on off, Sundar works it into the on-side and opens his account in IPL ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 18.6 ," Bhuvneshwar to Manoj Tiwary, out Manoj Tiwary Run Out!! 1 run completed. Horrible mix-up and Tiwary has to depart. A total communication breakdown between Tiwary and Dhoni. A fuller length delivery on the stumps, Tiwary pushes it towards long-off and set off for the second. Dhoni showed signs of interest but on seeing the fielder rush onto the ball, he sent back Tiwary and sold him down the river. The Bengal batsman had no chance of returning back once he took off. Manoj Tiwary run out (Warner/Bhuvneshwar) 9(5) [4s-1] ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 18.5 ," Bhuvneshwar to Dhoni, 1 run, lands the leg-cutter around off, Dhoni reads it well and pats it into the off-side ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 18.4 ," Bhuvneshwar to Dhoni, SIX, you miss the length, you will get punished. The idea was good from Kumar, but the execution was horrible. Fullish outside off, Dhoni throws his weight across and bullies it over extra cover. A flat six ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
 18.3 ," Bhuvneshwar to Dhoni, SIX, Dhoni has found his elements. A short ball without any purpose, sits up nicely for Dhoni. He rocks back and muscles the pull over deep mid-wicket. The crowd aren't willing to return the ball. So, the fourth umpire has arrived with a set of replacements ",RPS Inns,44t,Sunrisers Hyderabad,Rising Pune Supergiant,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Yuvraj Singh, Moises Henriques, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Siddarth Kaul, Ashish Nehra","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Ben Stokes, Daniel Christian, Washington Sundar, Jaydev Unadkat, Shardul Thakur, Imran Tahir",,,IPL,2017,"Rajiv Gandhi International Stadium,Hyderabad","May 06,2017",Sunrisers Hyderabad have won the toss and have opted to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,RCB,bat
