ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Boult to Dhoni, 2 runs, very full and outside off, Dhoni gets under it and smacks it hard to the left of long-off. They race back for the second and it's Dhoni's third fifty of IPL 2018! What a gala time he is having! CSK finish on a massive 211/4 ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,2,0,Full,off side,long-off,
19.5," Boult to Dhoni, out Rayudu Run Out!! That's the end of Rayudu, wanted to get on strike as Dhoni had missed the pull but the CSK captain remained unmoved. Pant was quick to throw it towards Boult who fired a direct hit at the other end. Rayudu was way short and was never going to make it. Another valuable contribution from him nevertheless. Rayudu run out (Pant/Boult) 41(24) [4s-5 6s-1] ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,out,out,Short,,,beaten
19.4," Boult to Dhoni, FOUR, blasted away! Doesn't matter where you bowl to him when he is in this mood. Banged in short by Boult and Dhoni was down the track in a flash, flat-batted it powerfully past the Kiwi who did well to get out of the way. Rockets past mid-off who was in the ring. Incredible, simply incredible ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,4,0,Short,,mid-off,
19.3," Boult to Dhoni, SIX, no he cannot! Because he is bowling to someone who is in insane hitting form this season. Misses the yorker and it's a low full toss, Dhoni just uses his quick hands and it's a short arm jab. Comfortably over deep square leg. No effort at all there ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,6,0,yorker,,deep square,beaten
19.2," Boult to Rayudu, 1 run, good ball, wide low full toss and Rayudu can only slap it down to long-off. Good start to the over for Boult. Can he keep it going? ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Good,wide,long-off,
19.1," Boult to Rayudu, no run, marginal decision but the umpire doesn't wide it. Rayudu walked across the stumps for the sweep but missed it. It went down the leg-side but the bowler got the benefit of doubt there ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,0,0,,wide,,beaten
18.6," Avesh Khan to Dhoni, SIX, that's deep into the crowd! After a series of good deliveries, Avesh loses his composure. Tries the yorker to be fair to him but it ends up as a juicy full toss. Clubbed away way over deep square leg. 108 meters it is! Second longest one of the tournament ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,6,0,Good,,deep square,
18.5," Avesh Khan to Dhoni, no run, that's a misjudgement from Dhoni, probably thought this is too wide than he initially was and hence, offered no stroke ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,0,0,,wide,,
18.4," Avesh Khan to Rayudu, 1 run, excellent stuff this from young Avesh Khan, holding his nerve against two intimidating hitters. Another fairly accurate wide yorker, sliced to deep backward point ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,yorker,wide,deep backward point,
18.3," Avesh Khan to Dhoni, 1 run, once again Avesh gets his length right, this was wide and very full. Dhoni tried to get under it with that strong bottom hand but could only blast it straight to long-off ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Full,wide,straight,
