ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type,match_id
19.6," SN Thakur to A Russell, SIX, smacked, 11th six for Russell and KKR finish with 202 on the board. A slower length ball outside off, Russell bends down low and smashes it high and over long-off for a maximum ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,6,0,Good,off side,long-off,,A Russell, SN Thakur,,201805
19.5," SN Thakur to Tom Curran, byes, 1 run, Russell was always running for the buye, another slower short ball outside off, Curran was backing away on the cut and missed. Russell was scampering across for a bye, Curran was late to get going, MS throws the ball at the bowler, he turns around and misses the shy at the bowler's end, but the batsmen decide against a second run ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,byes,1,Short,off side,,beaten,Tom Curran, SN Thakur,,201805
19.4," SN Thakur to Tom Curran, no run, this is excellent bowling from Thakur, slips in the slower short ball outside off, Curran was backing away on the swing and missed, can't get the bye as well ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,0,0,Short,off side,,beaten,Tom Curran, SN Thakur,,201805
19.3," SN Thakur to Tom Curran, no run, that's a great takes from MS, definitely saved a few runs here, Thakur followed Curran as he shuffled acrioss with a quick bouncer, the ball was swirling away and MS dived full-stretch to make the save ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,0,0,Full,,,,Tom Curran, SN Thakur,,201805
19.2," SN Thakur to A Russell, 1 run, short of a length and on the stumps, Russell goes hard once again and mistimes it to deep mid-wicket ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,1,0,Short,stump line,mid-wicket,,A Russell, SN Thakur,,201805
19.1," SN Thakur to A Russell, SIX, Russell is having a party at the Chepauk, on a good length and well wide of off, he bends down low and drills it high and over cover for another maximum, his 10th six of the innings ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,6,0,Good,wide,cover,,A Russell, SN Thakur,,201805
18.6," Dwayne Bravo to A Russell, 1 run, full-toss on Russell's pads, whipped away behind square on the on-side for a single, more importantly for KKR, he keeps strike. 21 off the over and 200 is on the cards ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,1,0,Full toss,,square,,A Russell, Dwayne Bravo,,201805
18.5," Dwayne Bravo to Tom Curran, 1 run, short of a good length and well outside off, chipped over cover for a single ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,1,0,Short,off side,cover,,Tom Curran, Dwayne Bravo,,201805
18.4," Dwayne Bravo to A Russell, 1 run, Bravo nails the yorker finally, gets it right at the base of leg-stump, Russell just about gets his bat down in time and squeezes it towards short fine, Tom Curran calls and then forces his partner for a quick single ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,1,0,yorker,,short fine,,A Russell, Dwayne Bravo,,201805
18.3," Dwayne Bravo to A Russell, SIX, a hat-trick of sixes for Russell, length ball on the stumps, Russell backs away, clears his front leg and heaves it high and over deep mid-wicket for a maximum ",1st Inns,5th,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Rinku Singh, Andre Russell, Vinay Kumar, Piyush Chawla, Tom Curran, Kuldeep Yadav",,,IPL,2018,"MA Chidambaram Stadium,Chennai","Apr 10,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Sam Billings,CSK,field,KKR,CSK,6,0,Good,stump line,mid-wicket,,A Russell, Dwayne Bravo,,201805
