ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Dwayne Bravo to Shakib, 2 runs, muscled down to long-on, they run hard and gets the second ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,2,0,,,long-on,
19.5," Dwayne Bravo to Shakib, no run, two dots in row. Gold at the moment. Slower ball lasered outside off, Shakib slashes and misses ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,0,0,,off side,,beaten
19.4," Dwayne Bravo to Shakib, no run, Bravo resorts to full and pacy delivery, Shakib takes a stride and misses the whip. Is struck on the pads and the ball trickles to the right of Bravo, who gets across and fires a throw at the stumps. Shakib was looking for a single and had given up. A direct-hit would've been curtains for him ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,0,0,Full,stump line,,beaten
19.3," Dwayne Bravo to Shakib, FOUR, just eludes Rayudu's outstretched right hand. Bravo lands the slower ball on the middle stump, Shakib gets low and slogs it across the line. Rayudu tried his best at square leg, but it evaded him ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,4,0,,,square leg,slog shot
19.2," Dwayne Bravo to Deepak Hooda, 1 run, full again, follows Hooda, who was charging down the track. Can only hack it down to long-on ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,Full,,long-on,
19.1," Dwayne Bravo to Shakib, 1 run, fuller length delivery slanted outside off, Shakib meets it with a straight-batted drive to long-off ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,Full,off side,straight,straight drive
18.6," SN Thakur to Shakib, 1 run, tucks Shakib for room with a length ball on off. Cut away to point ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,Good,off side,point,Cut
18.5," SN Thakur to Deepak Hooda, 1 run, attacks the stumps, Hooda flaps it away to long-on ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,,,long-on,
18.5," SN Thakur to Deepak Hooda, wide, there was a definite sound as the ball past Hooda's horizontal bat. MS and Thakur went up in unison, but the umpire calls it a wide. Full and moving well wide of off, Hooda threw his bat and the noise could've been of the bat hitting the ground there ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,wide,1,Full,wide,,wide
18.4," SN Thakur to Deepak Hooda, SIX, in the slot and out of the park. Thakur gets his line closer to off, Hooda stays still and biffs it powerfully over long-off ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,6,0,Slot,off side,long-off,
18.4," SN Thakur to Deepak Hooda, wide, and again. Action reply of previous ball, just that Hooda didn't swish his blade. Thrown outside the tramline and Thakur has to rebowl ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,wide,1,,wide,,wide
18.4," SN Thakur to Deepak Hooda, wide, hurls it very full outside off, flirts with the tramlines and it's been called a wide. Hooda went after it and couldn't reach ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,wide,1,Full,wide,,wide
18.3," SN Thakur to Manish Pandey, out Caught by Willey!! Pandey perishes. SRH lose their fourth wicket. Cross-seam full ball from Thakur, Pandey went hard at it and the bat turned on impact in his hands. Hence, skies it towards long-off. Willey steps forward and grabs it with ease. The visitors are losing steam here. Manish Pandey c Willey b SN Thakur 5(6) ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,out,out,Full,,long-off,
