ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
19.6," Rahul Tewatia to Tom Curran, out Caught by Maxwell!! Rahul Tewatia is pumping his fist and punching the air. Three wickets in that over and just one run off it. Fantastic effort from the leggie. Tom Curran too like Chawla charges the bowler and can only find long-on. Tom Curran c Maxwell b Rahul Tewatia 2(3) ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,out,out,,,long-on,,Tom Curran, Rahul Tewatia,"Catch out , maxwell"
19.5," Rahul Tewatia to Chawla, out Caught by Pant!! Chawla comes and goes. Without scoring. Cleverly bowled by Rahul Tewatia, saw Chawla charging out, pulled his length back, Chawla skies the lofted hit straight up and Pant calls for it to take it. Chawla c Pant b Rahul Tewatia 0(3) ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,out,out,,,straight,pull shot,Chawla, Rahul Tewatia,"Catch out , pant"
19.4," Rahul Tewatia to Chawla, no run, now takes one on the body. Tries to hit too hard - his shape all wrong and the ball strikes him on the abdomen region. Probably got an inside edge on the slog as well ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,0,0,,,,edge,Chawla, Rahul Tewatia,
19.3," Rahul Tewatia to Chawla, no run, Chawla who has come out without a cap or a helmet, tries to slog-sweep and misses. It turned away from him ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,0,0,,,,beaten,Chawla, Rahul Tewatia,
19.2," Rahul Tewatia to Shubman Gill, out Caught by Chris Morris!! ""Catch it buddy"" shouted someone and it has been caught at point. All too simple really. Short and wide outside off, Shubman Gill fails to keep the cut down and gives Morris an easy opportunity inside the ring. Shubman Gill c Chris Morris b Rahul Tewatia 6(5) [4s-1] ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,out,out,Short,wide,point,Cut,Shubman Gill, Rahul Tewatia,"Catch out , chris morris"
19.1," Rahul Tewatia to Tom Curran, 1 run, tossed up outside off, wider of Tom Curran's reach, hit to long-off. Tom Curran wants two, but Shubman Gill sends him back ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,1,0,Full toss,off side,long-off,,Tom Curran, Rahul Tewatia,
18.6," Chris Morris to Shubman Gill, leg byes, FOUR, poor delivery and deserved four. High full-toss sliding down leg, brushes the thigh pad of Shubman Gill and beats Pant's dive to his left. Runs away fast to the fine leg fence. Chris Morris has been disappointing with the ball tonight ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,byes,4,Full toss,,fine leg,,Shubman Gill, Chris Morris,
18.5," Chris Morris to Tom Curran, 1 run, full and a hint of tail back in, Tom Curran drives straight down the ground, hits the stumps, but it's still a single only ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,1,0,Full,,straight,straight drive,Tom Curran, Chris Morris,
18.4," Chris Morris to Shubman Gill, 1 run, tailing in late, from a fuller length, clipped behind square for a single ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,1,0,Full,,square,,Shubman Gill, Chris Morris,
18.3," Chris Morris to Nitish Rana, out Caught by Gambhir!! Deception from Chris Morris and he dismisses Nitish Rana. The slower delivery just outside off, Nitish Rana this time scooped it straight up in the air and Gambhir tracked back from cover to settle under that. Nitish Rana c Gambhir b Chris Morris 59(35) [4s-5 6s-4] ",1st Inns,13th,Kolkata Knight Riders,Delhi Daredevils,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Shivam Mavi, Tom Curran, Piyush Chawla, Kuldeep Yadav","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Rishabh Pant(w), Glenn Maxwell, Shreyas Iyer, Vijay Shankar, Chris Morris, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Eden Gardens,Kolkata","Apr 16,2018",Delhi Daredevils have won the toss and have opted to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,DD,field,KKR,DD,out,out,,off side,straight,beaten,Nitish Rana, Chris Morris,"Catch out , gambhir"
