ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra
19.6," Laughlin to A Russell, 1 run, gets the yorker right. Russell can just dig it into the off-side. 12 off the final over ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,1,0
19.5," Laughlin to A Russell, FOUR, wow! Bludgeoned away. Russell gets deep in his crease, Laughlin fails to nail the yorker. And Russell caresses it through extra cover ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,4,0
19.4," Laughlin to Searles, out Caught by Jofra Archer!! Laughlin hoodwinking the batsmen with his canny slower balls. This was on a length around off, Searles swung it hard, lost his shape and skied it as far as long-off. Two fielders were converging and Archer completes the catch in the end running forward. A dot ball but Russell gets back on strike. Blessing in disguise? Eh? Searles c Jofra Archer b Laughlin 2(5) ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,out,out
19.3," Laughlin to A Russell, 1 run, hammered away along the ground to deep mid-wicket ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,1,0
19.2," Laughlin to A Russell, no run, tailing in, a low full toss. Russell hacks and gets an inside edge onto his pad. Rolls towards the keeper ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,0,0
19.1,"Laughlin to A Russell, FOUR, misses the length and Russell makes him pay. Clears his front leg, unleashes his bottom hand and whacks it across the line, the practice pitches help his cause. Trickles away wide of long-on",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,4,0
19.1," Laughlin to A Russell, wide, corrects the line, still gets punished. A marginal call. Back of a length just outside off, stalking the tramlines and the umpire calls it a wide. Kind of harsh there ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,wide,1
19.1," Laughlin to A Russell, wide, the intent was good but the execution was bad. Follows Russell, who backed away and splayed it further down leg ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,wide,1
18.6," Jofra Archer to A Russell, 1 run, thrashed hard, can't find the gap. Directs it to sweeper cover ",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,1,0
18.5,"Jofra Archer to A Russell, SIX, phew! That bat-speed and the muscle power from Russell. Didn't get it off the middle but it hardly matters to him. The back of the hand slower ball, rising up and Russell forehand swats it over long-off. Sends it a long way over long-off. Came off the bottom, still dispatched it for a maximum. How?",1st Inns,Eli,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Dinesh Karthik(w/c), Nitish Rana, Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav","Rajasthan Royals (Playing XI): Rahul Tripathi, Ajinkya Rahane(c), Sanju Samson, Heinrich Klaasen(w), Krishnappa Gowtham, Stuart Binny, Jofra Archer, Ish Sodhi, Jaydev Unadkat, Shreyas Gopal, Ben Laughlin",,,IPL,2018,"Eden Gardens,Kolkata","May 23,2018",Rajasthan Royals have won the toss and have opted to field,Kolkata Knight Riders won by 25 runs,Andre Russell,RR,field,KKR,RR,6,0
