ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type,match_id
19.6,"Corey Anderson to Hardik Pandya, FOUR, finishing touches. Make it 21 off the over -- and Pandya's done it with a flash straight down. 213 it will be ..",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,4,0,,,straight,,Hardik Pandya,Corey Anderson,,201814
19.6," Corey Anderson to McClenaghan, 2 wides, moves away, Anderson goes the other way. Past the line, and the carnage means that the keeper's slow enough to deny them the sneaked bye as well. Pandya has his strike back ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,wide,2,,wide,keeper,wide,McClenaghan, Corey Anderson,,201814
19.5," Corey Anderson to Rohit, out Caught by Woakes!! Real quick. Talk about timing even when you are getting out. Rohit backs away, smacks it down long-on's throat. And it's so flat that Pandya can't even cross over. Rohit c Woakes b Corey Anderson 94(52) [4s-10 6s-5] ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,out,out,,,long-on,,Rohit, Corey Anderson,"Catch out , woakes",201814
19.4," Corey Anderson to Rohit, FOUR, another juicy full toss. Oh dear. Oh dear. Flat-batted, heaving it downtown. Oh the bleeding, it's getting painful to watch ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,4,0,Full,,,,Rohit, Corey Anderson,,201814
19.3,"Corey Anderson to Rohit, SIX, makes him bowl a full toss. Misses the yorker, the dew isn't helping him either. And Rohit doesn't need these, really. You don't have to be this kind. Carved away, deep extra cover",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,6,0,Full,,deep extra cover,beaten,Rohit,Corey Anderson,,201814
19.2," Corey Anderson to Rohit, FOUR, clears his front leg. Goes conventional. Full meat, over the bolwer, and trickling further in. Deadly death batting this ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,4,0,Full,,,,Rohit, Corey Anderson,,201814
19.1," Corey Anderson to Rohit, no run, tries some extravaganza. Goes down to paddle, can't get low enough. Uncharacteristic ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,0,0,,,,,Rohit, Corey Anderson,,201814
19.1," Corey Anderson to Rohit, wide, too wide. Almost cutting the line of the pitch in the process ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,wide,1,,wide,,wide,Rohit, Corey Anderson,,201814
18.6,"Woakes to Rohit, 1 run, lines himself up to drive it over sweeper",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,1,0,,,sweeper,drive,Rohit,Woakes,,201814
18.5," Woakes to Hardik Pandya, 1 run, opens up his bat face to smear it through point ",1st Inns,14th,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Ishan Kishan(w), Rohit Sharma(c), Kieron Pollard, Krunal Pandya, Hardik Pandya, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Corey Anderson, Sarfaraz Khan, Washington Sundar, Chris Woakes, Umesh Yadav, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 17,2018",Royal Challengers Bangalore have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,RCB,field,MI,RCB,1,0,,,point,,Hardik Pandya, Woakes,,201814
