ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra
19.6," Stokes to Cutting, 2 runs, change of pace once again from Stokes and Cutting flat-bats it to wide long-on, some work for the fielder to do and the pair race back for the second. MI finish with 168 ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,2,0
19.5,"Stokes to Hardik Pandya, out Caught by Samson!! Stunner from Samson. Wow! The replays show it to be even better. Should be in the top five list. Full and angled in, Pandya whips it with plenty of bottom hand towards deep mid-wicket, Samson runs across to his right, but the ball seemed to be out his reach, that is when he decides to put in the full length dive and the ball sticks in his right hand when he is parallel to the ground. Simply superb! Hardik Pandya c Samson b Stokes 36(21) [4s-3 6s-2]",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,out,out
19.4," Stokes to Hardik Pandya, no run, tries to repeat the shot, but this time Stokes ensures that he keeps it away from him, down leg without any pace and Pandya can't make any connection on the scoop ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,0,0
19.3," Stokes to Hardik Pandya, FOUR, premeditated. Pandya shuffled across early and Stokes smartly dragged his length back, Pandya still went through with his paddle and got the faintest of connection to beat Buttler to his left ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,4,0
19.2," Stokes to Cutting, leg byes, 1 run, conventional length ball and Cutting misses the hoick to the on-side, off the pad and to short third. Struck him well down leg and hence no appeal for LBW ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,byes,1
19.1," Stokes to Cutting, SIX, Cutting making RR pay for the drop catch. Stokes is slower ball is right in the slot, Cutting delayed his shot for a second and hammered it with a clean swing over long-on ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,6,0
18.6," Unadkat to Hardik Pandya, no run, bumper following the backing away batsman, Pandya tries a last second ramp, but that is after the ball had flown past him. Good end to the over after conceding 17 off the first three ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,0,0
18.5," Unadkat to Cutting, 1 run, dropped! Archer puts down a sitter. Warne is livid in the dugout but he isn't showing any emotions. Cutting was deceived completely by the slower delivery and miscues the big hit towards point, Archer was a bit too casual with his approach and hence spills it ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,1,0
18.4," Unadkat to Hardik Pandya, 1 run, in the air and safe. That is the right length to bowl the slower ball - back of a length, Pandya toe-ends the pull and skies it in front of deep mid-wicket, Short couldn't get there in time. Lucky! ",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,1,0
18.3,"Unadkat to Hardik Pandya, SIX, Unadkat is dishing out freebies. Another nice juicy full toss outside off, just the right amount of width for Pandya to tonk the loft over extra cover. He didn't overhit; just a lift and off she went into the crowd. 17 already off the over",1st Inns,47t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Suryakumar Yadav, Evin Lewis, Rohit Sharma(c), Ishan Kishan(w), Hardik Pandya, Ben Cutting, Krunal Pandya, Jean-Paul Duminy, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Jofra Archer, Krishnappa Gowtham, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2018,"Wankhede Stadium,Mumbai","May 13,2018",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Jos Buttler,RR,field,MI,RR,6,0
