ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Dwayne Bravo to Andrew Tye, 2 runs, 132.8kph, low full toss, meant to be the yorker, Tye stayed leg-side of the ball, cleared his front leg and hammered it to deep mid-wicket for a couple. Top-class stuff from Dwayne Bravo - just 4 runs and a wicket off the final over ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 19.5 ," Dwayne Bravo to Andrew Tye, no run, that's a mighty swing of the bat. He backed away a long way as well. It was the slower delivery and the ball went past his inside edge ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 19.4 ," Dwayne Bravo to Nair, out Caught by Jadeja!! Dwayne Bravo is good. He is too good, specially at the death. It's the slower back of a length delivery from Bravo. Nair knew that was coming, still couldn't put it away. Went deep in his crease and went too hard on the pull. Mistimed to deep mid-wicket. Straightforward catch for RJ. Nair c Jadeja b Dwayne Bravo 29(17) [4s-2 6s-1] ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 19.3 ," Dwayne Bravo to Andrew Tye, 1 run, yorker length, jams the drive to long-off ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 19.2 ," Dwayne Bravo to Andrew Tye, no run, Tye is bamboozled. 101.5kph slower ball, the cutter. Tye comes down the track and swings his bat hard. Connects with thin air ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 19.1 ," Dwayne Bravo to Nair, 1 run, clears the front leg and hacks over mid-wicket. Finds the man in the deep. Just a single ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.6 ," SN Thakur to Nair, 3 runs, drilled through covers and Chahar dives full length to his left to pull the ball back into play. And that's after sprinting across for a quite a long distance. In the end, saves a run ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.5 ," SN Thakur to Ashwin, out Caught by Dhoni!! Dhoni catches and Ashwin has to walk back to the dressing room. That's not something we are used to. A shortish ball, slightly off-paced and Ashwin was back and across to pull it away. Top-edges and MS runs towards the square leg region to snaffle that. Ashwin c Dhoni b SN Thakur 14(11) [6s-1] ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.4 ," SN Thakur to Ashwin, SIX, Vijay was waiting for the ball, but it goes over his head. A 62m six! Slightly wayward from Thakur. Short of a good length straying down leg, Ashwin stays deep and moves towards off to help it along its way. A superb pick-up shot over fine leg ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.3 ," SN Thakur to Nair, 1 run, knuckle ball, miscued pull to deep mid-wicket, who takes it on the bounce. Nair is not happy; he reckons he should have put it away ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.2 ," SN Thakur to Ashwin, 1 run, drives a length ball hard. Straight to mid-off, who stops but doesn't know where the ball is. Rotates around the ball and Ashwin nabs the run ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
 18.1 ," SN Thakur to Ashwin, 2 runs, 141.6kph, in-angling length ball on the stumps, Ashwin is back and across to force it to deep extra cover ",PBKS Inns,12t,Punjab Kings,Chennai Super Kings,,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Murali Vijay, MS Dhoni(w/c), Sam Billings, Ravindra Jadeja, Dwayne Bravo, Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 15,2018",Chennai Super Kings have won the toss and have opted to field,Kings XI Punjab won by 4 runs,Chris Gayle,CSK,field
