ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line
19.6," Mohit Sharma to Christian, out Bowled!! Kaboom! Who says the yorker has gone out of fashion? It never has and it never will. Lovely yorker from Mohit, on the base of off stump and Christian was making room to slam it through cover. Too good a nut for him and he fails to get his bat down in time. Timber it is! DD finish on 166/7. Is it enough? Christian b Mohit Sharma 13(13) [6s-1] ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,out,out,yorker,off side
19.5,"Mohit Sharma to Chris Morris, 3 runs, comedy of errors! Initially a good stop by Tye, doesn't stop it cleanly as his slide ended up booting it, then Stoinis in the tag team effort nearly overruns the ball. Saves it though and finally, the umpire by mistake signals a boundary before apologizing. Gee! Fuller ball that was hacked away towards deep mid-wicket. Struck it fairly well but good fielding denied him a boundary. They get three though",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,3,0,Good,
19.4," Mohit Sharma to Chris Morris, FOUR, just wide of Tye's outstretched hands running to his left from deep mid-wicket. Had a lot of work to do but was never really going to get to it. Slower ball on a shortish length and Morris went for the forehand smash. Mistimed it but luckily, got it in the gap. Or nearly in the gap. Doesn't matter how they come as long as they do ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,4,0,Short,wide
19.3," Mohit Sharma to Chris Morris, 2 runs, continues to get his length right, does Mohit. Almost in the blockhole and Morris drags it off the inner half towards deep mid-wicket. Had to go for the second to keep Morris on strike and they do it ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,2,0,,
19.2," Mohit Sharma to Christian, 1 run, good bowling! Very full and attacking the stumps, nearly a yorker and Christian despite backing away to make room, cannot get under it. Dragged down to long-off ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,Good,
19.1," Mohit Sharma to Chris Morris, 1 run, slower bouncer that sticks onto the surface, Morris mistimes the pull towards deep mid-wicket, just a single and KXIP won't mind these ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,,stump line
18.6," Andrew Tye to Christian, SIX, smacked away! Takes full toll of the extra delivery, does Christian. Full and in the slot for him, he just hacks it over deep mid-wicket for a maximum. DD needed that badly, they certainly did ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,6,0,Full,
18.6," Andrew Tye to Christian, no ball, this is a no ball, no doubt! Immediate apology from Tye, slipped out of his hand perhaps and it's a beamer. Christian evades it and Rahul does well to get around. Free Hit loading! ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,no ball,1,,
18.5," Andrew Tye to Christian, no run, top ball! The wide yorker with the change of pace, Christian was backing away initially and had no way to connect in the end despite trying to reach it ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,0,0,yorker,wide
18.4," Andrew Tye to Chris Morris, 1 run, not getting the timing right, is Morris. Very full and he goes hard at it, dragged down to long-off ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,Full,
18.3," Andrew Tye to Christian, 1 run, high full toss, almost a waist-high no ball but the umpires feel it's okay. Christian was taken aback by the full toss and mistimed the hoick towards the mid-on region ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,Full,
18.2," Andrew Tye to Chris Morris, 1 run, very full and attacking the stumps, powers it down the ground towards wide long-on ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,Full,wide
18.1," Andrew Tye to Christian, leg byes, 1 run, good stop by Rahul, saved a few runs for sure. Christian was charging down the pitch and this was a full toss heading down leg, brushes his pads en route to Rahul who makes a good stop ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,byes,1,Good,
17.6," Mujeeb to Christian, 1 run, flatter and around middle, Christian moves across the stumps and whips it through deep square leg. What an IPL debut for Mujeeb, 4-0-28-2 read his figures and he also affected a vital run out of Gambhir with that direct hit ",1st Inns,2nd,Kings XI Punjab,Delhi Daredevils,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Mayank Agarwal, Karun Nair, Yuvraj Singh, David Miller, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman","Delhi Daredevils (Playing XI): Gautam Gambhir(c), Colin Munro, Rishabh Pant(w), Shreyas Iyer, Chris Morris, Vijay Shankar, Daniel Christian, Rahul Tewatia, Amit Mishra, Trent Boult, Mohammed Shami",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,DD,PBKS,1,0,,
