ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination
19.6," Barinder to Searles, SIX, his first ball in the match has sailed over long-on. wow. Full and swung away. KKR finish with whoppin' 245 ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,6,0,Full,,long-on
19.5," Barinder to Shubman Gill, 1 run, drags the length back and cuts the pace back on seeing the batsmen charge at him. Adjustment needed, and Gill does that well. Slaps it crampedly through covers ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,1,0,,,covers
19.4," Barinder to Shubman Gill, FOUR, tries to bowl the pacy full-wide ball from over the wicket but Shubman Gill's reached out and ushered it to the ropes off the toe-end. Through to square third man ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,4,0,Full,wide,square
19.3," Barinder to Shubman Gill, FOUR, played the slower ball at 93ks brilliantly here. Waits and pulls, splitting the two fielders in deep square on the leg-side ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,4,0,,,deep square
19.2," Barinder to Karthik, out Caught by (sub)Miller!! He's done two things wrong here: a) gone against the angle on this slow short ball from over the wicket, and b) played the slog-pull off the front foot. Misuced to Miller at long-on but he's done his job, has Karthik. Karthik c (sub)Miller b Barinder 50(23) [4s-5 6s-3] ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,out,out,Short,,long-on
19.1," Barinder to Shubman Gill, 1 run, stepping out and then checking his slap shot through covers. Gives the strike back to the captain. Nicely done ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,1,0,,,covers
18.6," Andrew Tye to Shubman Gill, 1 run, steps out to what would have been a yorker and flashes it to extra cover. A direct hit would have had Shubman Gill but the fielder misses ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,1,0,yorker,,extra cover
18.5," Andrew Tye to Karthik, 1 run, inches short of a yorker and he's squeezed it out to backward point. Karthik's 15th IPL fifty - and his first this season ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,1,0,Short,,backward point
18.4," Andrew Tye to Karthik, no run, reaches out outside off but this has been brilliantly bowled slow and full just inside the off-side tramline. No connection ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,0,0,Full,off side,off-side
18.3," Andrew Tye to Shubman Gill, 1 run, gets his bat in front of the pad and jams this yorker length delivery to long-on ",1st Inns,44t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): Chris Gayle, Lokesh Rahul(w), Mayank Agarwal, Aaron Finch, Karun Nair, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 12,2018",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,PBKS,field,KKR,PBKS,1,0,yorker,,long-on
