ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
15.1," Moeen Ali to Axar, out Rajpoot Run Out!! 1 run completed. KXIP have been bowled out for 88. Axar wanted to keep the strike and pushed Rajpoot for a non-existent second. In fact, it was Rajpoot who wanted the second. Axar worked the flatter delivery towards wide long-on, he was content with the single but upon seeing Rajpoot charge across, he relcutantly went for it, nice flat throw right next to the stumps from Southee and Mo did the rest. Rajpoot run out (Southee/Moeen Ali) 1(5) ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,out,out,,wide,long-on,cut shot,Axar, Moeen Ali,"run out ,(Southee/Moeen Ali)"
14.6," Siraj to Rajpoot, no run, fuller and attacking the stumps, Rajpoot manages to keep it out with a push to cover ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Full,,cover,push shot,Rajpoot, Siraj,
14.5," Siraj to Axar, 1 run, short of length angled across, Axar flat-bats the pull to long-on ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,Short,,long-on,pull shot,Axar, Siraj,
14.5," Siraj to Axar, wide, sprays it down leg and Axar fails to meet with the glance, wide given ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,wide,1,,wide,,wide,Axar, Siraj,
14.4," Siraj to Rajpoot, 1 run, spears it in almost close to the blockhole, Rajpoot digs it to mid-on and sets off, Southee was a tad slow to react and he misses the direct hit as well ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,,,mid-on,beaten,Rajpoot, Siraj,
14.3," Siraj to Rajpoot, no run, fuller in length and Rajpoot has another swish and miss, he is nowhere close to the ball ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Full,,,beaten,Rajpoot, Siraj,
14.2," Siraj to Rajpoot, no run, Rajpoot is not going to hang around, looks to take on the back of a length delivery and fails to connect ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Back of Length,,,,Rajpoot, Siraj,
14.1," Siraj to Rajpoot, no run, good length ball just outside off, Rajpoot forces it towards backward point ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Good,off side,backward point,,Rajpoot, Siraj,
13.6,"Moeen Ali to Mohit Sharma, out Mohit Sharma Run Out!! A typical number 10 run-out. Mohit works the off-break past mid-wicket, but was not sure whether to go for the run or not, he decides late and AB from mid-wicket runs back, slides and fires a throw to Mo, who deflects the ball onto the stumps. Brilliant bit of work from AB and Mo. Mohit Sharma run out (de Villiers/Moeen Ali) 3(5)",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,out,out,,,mid-wicket,,Mohit Sharma,Moeen Ali,"run out ,(de Villiers/Moeen Ali)"
13.5," Moeen Ali to Mohit Sharma, no run, floated up outside off, Mohit drives uppishly but well short of mid-off ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Short,off side,mid-off,off drive,Mohit Sharma, Moeen Ali,
