ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length
19.6,"Rashid Khan to Gayle, 1 run, tad quicker and spun back in, Gayle went for a cross-batted heave, gets an inside edge onto his pad. Rolls into the off-side. Saha gets across, grabs the ball and fires a needless throw at the non-striker's end. Rashid fails to collect it and no backing up meant that they will nab the single. 1/55 is the most runs conceded by Rashid in a T20, going past 52 vs Zimbabwe in 2015",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,
19.5," Rashid Khan to Finch, 1 run, whacked away to deep mid-wicket and they will settle for a single ",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,
19.4," Rashid Khan to Finch, SIX, Rashid has been taken to the dry cleaners today. Proper pasting. Went too full this time does Rashid, Finch was waiting for it. Muscles it straight down the ground ",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,6,0,Full
19.3," Rashid Khan to Finch, FOUR, Finch gets into the act. Backs away, makes room and Rashid helped him by slanting it on the stumps. Golf-swung over cow corner ",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,4,0,
19.2," Rashid Khan to Gayle, 1 run, quicker on off, blasted to long-on ",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,
19.1," Rashid Khan to Gayle, no run, big appeal for a LBW by Rashid, but umpire Nigel Llong shakes his head. Looked close. Flighted from round the wicket and it turned in a bit, Gayle set himself for a slog and missed. Hit low on the pad, guess the angle was slightly taking it down leg ",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,0,0,
18.6,"S Kaul to Gayle, 1 run, full toss, clipped to deep mid-wicket",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,Full
18.5,"S Kaul to Finch, 1 run, gets the yorker right, squeezed down to long-on",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,yorker
18.4,"S Kaul to Gayle, 1 run, oh this was nearly a run out! A highish full toss miscued to extra cover, who with a direct hit could have gotten Gayle. Throw is right on cue to Kaul but he's not in a position to under-arm the ball onto the stumps. Chance missed, Gayle makes it back in...",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,Full
18.3,"S Kaul to Finch, 1 run, flat-batted to long-on",1st Inns,16t,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Yuvraj Singh, Aaron Finch, Karun Nair, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Mohit Sharma, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Chris Jordan",,,IPL,2018,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 19,2018",Kings XI Punjab have won the toss and have opted to bat,Kings XI Punjab won by 15 runs,Chris Gayle,PBKS,bat,PBKS,SRH,1,0,
