ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," McClenaghan to de Grandhomme, SIX, and he finishes with a six. This is a tremendous over for RCB. Watches the slower delivery and carves it high and wide over long-off. Pure power and CdG ends the innings in style. Boy o boy did RCB need that or what ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,6,0,,wide,long-off,
19.6," McClenaghan to de Grandhomme, no ball, SIX, wow! What's more it is a no-ball as well. For height. Over the waist. Full-toss gone wrong and he has belted that into the crowd at deep square. That hit brings the ladies on their feet - with one even whistling away to glory ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,no ball,1+6,Full toss,,deep square,
19.5," McClenaghan to de Grandhomme, 2 runs, is made to reach out to this off-pace delivery, forced wide of extra-cover, enough to come back for the second ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,2,0,,wide,cover,
19.4," McClenaghan to de Grandhomme, SIX, that's what he can do. Actually is in tremendous form in the international circuit but hasn't replicated that in this IPL. But mauls this cutter high into the stands at deep mid. Stayed back and gave it his all ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,6,0,,,,cut shot
19.3," McClenaghan to U Yadav, byes, 1 run, Ishan Kishan with the gloves on misses to hit direct and de Grandhomme gets home. McClenaghan beats Yadav with a slower delivery, a swing and a miss but they steal a bye ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,byes,1,,,,beaten
19.2," McClenaghan to de Grandhomme, 1 run, no room to work with for de Grandhomme, can only dab this square of the wicket and the fielder is quick to get to the ball. No chance of a second ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,,,square,dab
19.1," McClenaghan to U Yadav, 1 run, slower delivery on a back of a length, Yadav stylishly - in his own way - dabs to the right of backward point for a single ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Back of Length,,backward point,dab
18.6," Bumrah to de Grandhomme, no run, yorker outside off, de Grandhomme fails to get bat on ball. Ishan Kishan fumbles and CdG looks for a quick bye, comically he loses balance and stumbles to get back. Ishan Kishan misses and the Kiwi gets away ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,yorker,off side,,beaten
18.5," Bumrah to Southee, out Caught by Cutting!! Southee goes now. Off-pace slower delivery outside off, Southee stands a foot outside off and then slugs this high up in the air, Cutting at deep mid actually misjudged it for an instant or two, but recovers to take it over his head and then tumbles over. Made a simple catch look difficult. Southee c Cutting b Bumrah 1(2) ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,out,out,,off side,,cut shot
18.4," Bumrah to de Grandhomme, 1 run, high full-toss on the hips, awkwardly nudged through mid-wicket ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Full toss,stump line,mid-wicket,
18.3," Bumrah to de Grandhomme, no run, and again. The shuffle from de Grandhomme didn't help him there, went outside off and missed the heave to another slower delivery ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,,off side,,beaten
18.2," Bumrah to de Grandhomme, no run, he can't pick the slower delivery. I can vouch for that. Just can't. A cutter outside off, he swings blindly and predictably misses ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,,off side,,beaten
18.1," Bumrah to Southee, 1 run, full delivery speared in on off, dug out to backward square leg ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Full,off side,square leg,
17.6," Hardik Pandya to Washington Sundar, out Caught by Rohit!! This is a dream dream over for MI. Now Washington Sundar goes. No real emotions or celebrations from Hardik Pandya. He is cool amidst all this. But familiar expressions on the RCB fans and players's faces. Washington Sundar finds deep mid-wicket with a slog off a slower delivery. No power behind the blow. All three batsmen have expertly found the fielder in this over. Washington Sundar c Rohit b Hardik Pandya 1(3) ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,out,out,,,mid-wicket,slog shot
17.5," Hardik Pandya to Washington Sundar, no run, beaten. No clue first up against a cutter, tries to dab it down to third man and misses ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,,,third man,beaten
17.4," Hardik Pandya to de Grandhomme, 1 run, he is just bowling cutters. Nothing more with a seamers' runup. de Grandhomme gets outside off and swings on the bounce to deep square ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,,off side,deep square,cut shot
17.3," Hardik Pandya to Washington Sundar, 1 run, no hat-trick. A slower delivery on leg, a thick leading edge on the defence, dribbles wide of backward point ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,,leg side,defence,edge
17.2," Hardik Pandya to Kohli, out Caught by Pollard!! The crowd are stunned. A hush of silence and disappointment descends on the Chinnaswamy. Their favorite son of the non-soil is gone. Ok - I made that up. Back to the wicket. This was another cutter on a short of length, trouble was Kohli looking to power it over long-on off the front foot. Such a difficult shot that one - even if you are Kohli. He holes out to long-on. Polly won't drop that. Kohli is shocked to say the least, makes his emotions known before trudging off. That's a difference of at least 20 in my book. Now Hardik Pandya suddenly is on a hat-trick. Kohli c Pollard b Hardik Pandya 32(26) [4s-2 6s-1] ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,out,out,Short,off side,long-on,cut shot
17.1," Hardik Pandya to Mandeep, out Caught by Suryakumar Yadav!! Off the base of the bat and caught by Surya at deep mid. Mandeep is unhappy at himself, screams and then taps the bat onto the helmet in despair. Was a slower delivery and in the slot for the mow over deep mid, but miscued it to the man. Mandeep c Suryakumar Yadav b Hardik Pandya 14(10) [4s-1 6s-1] ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,out,out,Slot,,,
16.6," Bumrah to Mandeep, 1 run, full and tailing back in, Mandeep whips it to deep square and it is just a single ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Full,,deep square,
16.5," Bumrah to Mandeep, no run, full and driven back to Bumrah who turns around to shy at Kohli who was caught off-guard by how quick the bowler was. But Bumrah doesn't and has a wry smile on his face. Difficult to say whether Kohli was in or out had Bumrah hit the stumps ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,Full,,,drive
16.4," Bumrah to Mandeep, SIX, smashed. Over deep mid. Picks the slower delivery and then smears it powerfully over mid-wicket. With all his body weight going into the shot. Sends the RCB-pro crowd into delights of joy ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,6,0,Full,,mid-wicket,
16.3," Bumrah to Kohli, 1 run, that's as hard as he has hit a cricket ball all IPL. Leathers the pull off the front foot but straight to the fielder at deep mid. Isn't happy that he didn't get the gap ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,,,straight,pull shot
16.2," Bumrah to Mandeep, 1 run, pacy back of a length delivery outside off, run down to third man ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Back of Length,off side,third man,
16.1," Bumrah to Kohli, 1 run, credit to both Bumrah and Kohli for not getting distracted by Mandeep dropping his bat just when Bumrah was about to release the ball. A cutter on a length, Kohli swipes it hard to long-on ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Good,,long-on,cut shot
15.6," Hardik Pandya to Mandeep, no run, back to the cutter and Mandeep is forced to bring his backlift down and defend it back down the pitch ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,,,down the pitch,defend
15.5," Hardik Pandya to Mandeep, FOUR, one ball per over he will bowl short. Or else he can't bowl. That's Hardik Pandya for you. This short ball doesn't rise enough to trouble Mandeep who rolls his wrists on the swivel-pull and beats deep square to his right ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,4,0,Short,,deep square,pull shot
