ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.2 ,"Woakes to Mujeeb, out Caught by Sarfaraz Khan!! KXIP have been bowled out for 155. RCB will feel they have done a good job with the ball. This was short and at the stumps, Rahman was backing away on the pull, the ball was just too quick for him, gets a top-edge that lobs behind square on the off-side. de Kock went for the catch, but Sarfaraz called for it and holds on safely. Mujeeb c Sarfaraz Khan b Woakes 0(2)",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 19.1 ," Woakes to Mohit Sharma, 1 run, fuller length delivery on the stumps, Mohit gets a thick inside edge on the drive, just a single to deep mid-wicket ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 19.1 ," Woakes to Mohit Sharma, wide, Woakes floats this one miles outside off as Mohit backed away, called as a wide ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.6 ," Chahal to Mujeeb, no run, tossed up just outside off, Rahman prods half-forward and defends it towards the off-side ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.5 ," Chahal to Ashwin, out Stumped!! Has Ashwin been stumped? de Kock certainly seems confident. It's a fair delivery, the bat is in the air, Ashwin is way short as well and he's OUT. That's the end of a mighty fine cameo from the KXIP captain, will it be the clinching factor in this match? Smart bowling from Chahal, sensed that Ashwin was coming down the track, threw in a loopy leg-break, Ashwin came down the track, doesn't get anywhere near the ball, swung across the line in hope and missed, de Kock did the rest. Ashwin st de Kock b Chahal 33(21) [4s-3 6s-1] ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.4 ," Chahal to Ashwin, SIX, cracking shot - made it even more special as he was done in completely by the flight. Chahal saw his coming, slowed down the pace, dragged it wide of off, Ashwin reached out and slaps it back over the bowler's head, all the way for a maximum ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.3 ," Chahal to Ashwin, 2 runs, nicely tossed up by Chahal, Ashwin uses his feet to good effect and clips it wide of long-on for a brace ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.2 ," Chahal to Mohit Sharma, leg byes, 1 run, flighted on Mohit's pads, he was looking to flick and missed, rolled away off the pads towards square leg ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 18.1 ," Chahal to Ashwin, 1 run, tossed up well outside off, driven to the right of cover-point where Woakes makes a tumbling stop ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
 17.6 ," Woakes to Ashwin, 1 run, on a good length and just outside off, driven to the right of cover for a single ",PBKS Inns,8th,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Brendon McCullum, Quinton de Kock(w), Virat Kohli(c), AB de Villiers, Sarfaraz Khan, Mandeep Singh, Chris Woakes, Washington Sundar, Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal",,,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","Apr 13,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 4 wkts,Umesh Yadav,RCB,field
