ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line
19.6," S Kaul to Sarfaraz Khan, FOUR, Sarfaraz Khan has played his part. Whips a full-toss on the stumps wide of backward square and it raced away. Grand end to the innings and he walks back with a swagger. RCB end on 218 ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,4,0,Full toss,stump line
19.5," S Kaul to Southee, 1 run, slightly off-pace back of a length delivery outside off, Southee drags it to deep mid ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,1,0,Back of Length,off side
19.4," S Kaul to Sarfaraz Khan, leg byes, 1 run, fast back of a length delivery into the body, Sarfaraz Khan pulls and takes one on the body ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,byes,1,Back of Length,
19.3," S Kaul to Sarfaraz Khan, 2 runs, good effort by Sandeep, but he has dropped Sarfaraz Khan at long-stop! Ran in and got there, but the ball went out. A thick top edge on the pull and Sarfaraz Khan almost gets out in the same fashion for the second game running ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,2,0,Good,
19.2," S Kaul to de Grandhomme, out Caught by Rashid Khan!! Has to go as one of the best catches in the IPL this season. On par with Boult. So similar. One-handed and behind him too. A pure reflex effort from Rashid at deep mid. Takes it and falls flat on the ground, can't believe has plucked that out of thin air. That was hit so powerfully and flat by de Grandhomme, but Rashid pulled off a blindy! de Grandhomme c Rashid Khan b S Kaul 40(17) [4s-1 6s-4] ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,out,out,Full,
19.1," S Kaul to de Grandhomme, 2 runs, that has gone into the stars and come back down, KW drops it. Gaping open mouths from the RCB fans. Who are enjoying the Schadenfreude. A slower delivery is skied miles up, miles literally, KW was setting himself at around mid-off, got both hands, out it went. Sarfaraz Khan dives and makes it back to prevent the run-out opportunity ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,2,0,,
18.6," Basil Thampi to de Grandhomme, 1 run, low full-toss on the stumps, drilled to long-on. End of Basil Thampi's horror show for tonight ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,1,0,Full toss,stump line
18.5," Basil Thampi to Sarfaraz Khan, 1 run, good from both bowler and batsman. Back of the hand slower delivery, Sarfaraz Khan was lining up for another reverse-lap, but then dabbed it after realising the off-pace delivery ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,1,0,Good,
18.4," Basil Thampi to Sarfaraz Khan, SIX, last match they had a fielder just behind the keeper, very fine and he was caught. Not this time. Just reverse-laps a full-toss and it goes all the way. The RCB dugout love it. Sarfaraz Khan is known to be innovative and he is showing us why ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,6,0,Full toss,
18.3," Basil Thampi to Sarfaraz Khan, FOUR, my colleague Kumar who dines and drinks on stats tells me this - Basil Thampi now has the most expensive figures this IPL. Not a proud record if you are the youngster. Good shot, full delivery on off, Sarfaraz Khan opened the bat face and that's why he could find the gap with the square-drive wide of the fielder in the deep ",1st Inns,51s,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Parthiv Patel(w), Moeen Ali, AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Shreevats Goswami(w), Rashid Khan, Siddarth Kaul, Sandeep Sharma, Basil Thampi",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 17,2018",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,AB de Villiers,SRH,field,RCB,SRH,4,0,Good,off side
