ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra
19.6," Shivam Mavi to Buttler, no run, is that wide again? No the umpire allows it. The first slower delivery that hasn't slipped wide of the tramline. Shivam Mavi beats Buttler on the slog and it is a legal delivery according to the umpire ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,0,0
19.5," Shivam Mavi to Buttler, out D Kulkarni Run Out!! 1 run completed. Almost a royal mess-up. But Shivam Mavi recovers to run Kulkarni out. Driven to long-off. No way the second was on, not with Kulkarni running like that. Shivam Mavi fumbled the throw but recovered to run Kulkarni out, who couldn't make it. But importantly Buttler will be on strike. D Kulkarni run out (Shubman Gill/Shivam Mavi) 3(3) ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,out,out
19.4," Shivam Mavi to Buttler, 2 runs, fires it full and makes Buttler reach out, to his full extension, squeezed out and again off the toe end through cover, Buttler comes back for two ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,2,0
19.4," Shivam Mavi to Buttler, wide, at this rate, this over will take all night long to complete. Third slower delivery and third one fired outside the tramline. DK and Shivam Mavi have a small chat ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,wide,1
19.3," Shivam Mavi to Buttler, no run, goes short and beats Buttler's pull. Flies over the top edge and DK likes it. Claps in appreciation ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,0,0
19.3," Shivam Mavi to Buttler, wide, Shivam Mavi grimaces. Another wide, another slower delivery gone wrong ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,wide,1
19.3," Shivam Mavi to Buttler, wide, the slower delivery goes wrong. Way outside off and beyond the tramline ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,wide,1
19.2," Shivam Mavi to Buttler, 2 runs, short of length and Buttler mistimes the pull, off a thick inside half, takes on Tom Curran at deep mid and easily done in the end as the throw goes wide of DK ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,2,0
19.1," Shivam Mavi to D Kulkarni, 1 run, Lynn at backward point drops a simple catch. Kulkarni sliced it and Lynn drops it. What's more it brings Buttler on strike too ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,1,0
18.6," Tom Curran to Buttler, FOUR, slightly off-line and four. Can't err in any way to Buttler. Low full-toss and swung to the left of long-on, one bounce over the ropes ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,4,0
