ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length
19.6," Andrew Tye to Unadkat, out Caught by Nair!! A wicket to cap off the innings. Fourth scalp for Tye - who's had a field day with the ball. Lands the knuckle ball on a fuller length at the stumps. Unadkat had to go for it and lifted it high. Straight into the gullet of Nair at long-on. Catching has been really good from Punjab today. Unadkat c Nair b Andrew Tye 0(1) ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,out,out,Full
19.5," Andrew Tye to Lomror, 1 run, shortish outside off, muscled away to deep mid-wicket ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,1,0,Short
19.4," Andrew Tye to Lomror, FOUR, oh, this will do for the Royals. Finally, Lomror gets some bat. Goes low and scoops this full ball at the stumps over short fine leg ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,4,0,Full
19.3," Andrew Tye to Jofra Archer, out Caught by Manoj Tiwary!! RR continue to lose wickets in clusters. Two wickets in three balls now. Superb bowling from Tye. Unleashes the knuckle ball and dupes Archer, who swung high in the air. Only height. Skies it into the dark sky towards long-off. Tiwary is safe as houses. Jofra Archer c Manoj Tiwary b Andrew Tye 0(1) ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,out,out,
19.2," Andrew Tye to Lomror, 1 run, bashed ferociously to long-on ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,1,0,
19.1," Andrew Tye to Stokes, out Caught by Ashwin!! A wicket against run of play and Tye nets the big fish. Stokes gone. The wheels are coming off for Rajasthan Royals. Tye hurls a low full toss outside off, Stokes goes for the across-the-line swipe and loses his shape completely. Skews it off the bottom to extra cover. Skipper Ash swallows it up. Tye is chuffed to bits. Stokes c Ashwin b Andrew Tye 14(11) [4s-1] ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,out,out,Full
18.6," Mohit Sharma to Lomror, no run, another play and miss. Lomror just can't seem to lay bat. Full ball angled outside off, Lomror swings and misses ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,0,0,Full
18.5," Mohit Sharma to Lomror, 2 runs, Run-out check sent upstairs now. Lomror dives to make his ground but the bat is in the air. Third umpire taking his time and scrutinizing different angles. And he gives the benefit of doubt to the batsman. Heaved away to deep mid-wicket, they decide to take the second. But both batsmen nearly bumped into each other. A good throw by the fielder to the kepeer's end but Lomror makes it in with a dive ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,2,0,Good
18.4," Mohit Sharma to Lomror, no run, doesn't take toll of the free-hit. He's really struggling. Full and just outside off, Lomror tries to jam it and fails ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,0,0,Full
18.4," Mohit Sharma to Stokes, no ball, 1 run, oh, what happened there? Sweaty hands from Sharma and he bowls a waist-high full toss at Stokes. The batsman was charging and it took him by surprise. Stokes somehow gets bat and caresses it to long-off. No-ball called and it will be a free-hit for Lomror next ball ",1st Inns,40t,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Jos Buttler(w), Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Stuart Binny, Mahipal Lomror, Jofra Archer, Krishnappa Gowtham, Jaydev Unadkat, Ish Sodhi, Anureet Singh","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Akshdeep Nath, Karun Nair, Axar Patel, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","May 08,2018",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 15 runs,Jos Buttler,RR,bat,RR,PBKS,no ball,1,Full
