ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
19.6," Jofra Archer to Saha, byes, 1 run, premeditated paddle attempt from Saha but doesn't get bat on ball. They sneak a bye. SRH limp their way to 151/7! ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,byes,1,,,,,Saha, Jofra Archer,
19.5," Jofra Archer to Rashid Khan, out Caught by Stokes!! Archer is having fun here at the death. Gets this third and this is another canny delivery. After a series of fullish balls, he drags back the length and takes all the pace off this one. Rashid was shuffling across for the slog but this got big on him. All he managed was to sky it towards deep mid-wicket. Stokes won't drop those. Rashid Khan c Stokes b Jofra Archer 1(3) ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,out,out,Full,,mid-wicket,slog shot,Rashid Khan, Jofra Archer,"Catch out , stokes"
19.4," Jofra Archer to Saha, 1 run, almost chopped on! Archer is getting his yorkers bang on. Gets this in the blockhole once more and Saha squirts an inside edge that goes down to fine leg ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,yorker,,fine leg,edge,Saha, Jofra Archer,
19.3," Jofra Archer to Rashid Khan, 1 run, more of the fuller length, not allowing Rashid to get under it properly. Drilled down to long-on ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,Full,,long-on,,Rashid Khan, Jofra Archer,
19.2," Jofra Archer to Saha, 1 run, almost a yorker, ends up as a low full toss that's heaved towards deep mid-wicket ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,yorker,,mid-wicket,,Saha, Jofra Archer,
19.1," Jofra Archer to Saha, FOUR, lovely shot. Mid-off is up and Archer bowls a fuller length to compound things. Easy for Saha though, he holds his shape and drives beautifully. Splits mid-off and extra cover easily to find the fence. Valuable runs ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,4,0,Full,,Mid-off,drive,Saha, Jofra Archer,
18.6," Unadkat to Rashid Khan, no run, how did that miss? Just missed the stumps by a whisker. Slower ball on a good length, Rashid wanted to send this one out of Jaipur with that wild slog of his. If only he could connect. Gets lucky eventually ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,0,0,Good,,,beaten,Rashid Khan, Unadkat,
18.5," Unadkat to Manish Pandey, out Caught by Rahane!! SRH are coming apart here in the death overs. Must say that the RR bowlers have been smart as well in reading the surface and executing the plans. Unadkat does what he does best, a slower ball on a good length that Pandey wants to biff by making room. He has no other choice at this stage, does he? However, doesn't connect it well at all and slices it high towards backward point where the RR skipper does the rest. Manish Pandey c Rahane b Unadkat 16(15) [4s-1] ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,out,out,Good,,backward point,Cut,Manish Pandey, Unadkat,"Catch out , rahane"
18.4," Unadkat to Saha, 1 run, Saha was moving around in the crease a lot and hencde, never was in control. Unadkat fires in a yorker that's stabbed to point. Just a single ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,yorker,,point,,Saha, Unadkat,
18.3," Unadkat to Saha, 2 runs, Gowtham's turn to mess up, this time at long-off and Saha gets another bonus run. Fuller ball outside off, pushed down the ground. Another single results in a brace ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,2,0,Full,off side,long-off,push shot,Saha, Unadkat,
