ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," SN Thakur to Brathwaite, out Bhuvneshwar Run Out!! Bhuvneshwar is run-out trying to steal a bye. MS does not miss out on the opportunity. Bouncer on middle and leg, Brathwaite shuffled across, got inside the line and failed to connect with the pull shot, Bhuvneshwar called for the run and he was caught well short. Dhoni hitting the sticks with an under-arm throw. Excellent finish to the SRH innings though, 20 runs off the final over. Bhuvneshwar run out (Dhoni) 7(11) ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.5,"SN Thakur to Brathwaite, SIX, Brathwaite is walking off thinking it is the end of the over. But someone tells him there's a ball to go. He was off there thinking the job is done. Short and outside off, Brathwaite stands tall and flat-bats it straight over Thakur",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.5," SN Thakur to Brathwaite, wide, sprays the back of a length delivery down leg, Brathwaite can't connect with the glance. Never mind he has a wide ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.4," SN Thakur to Brathwaite, FOUR, wow! What power! This was close to yorker length, but Brathwaite used the depth of the crease nicely, went deep to get underneath it and hammered it over extra cover. There was a fielder in the deep but he had no chance ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.3," SN Thakur to Brathwaite, SIX, small margins for errors. Thakur missed his yorker and bowled a friendly full toss, Brathwaite was waiting for it with a cleared front leg, nice clean swing of the bat and off she goes sailing over the long-on fence ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.2," SN Thakur to Brathwaite, 2 runs, walks across his stumps and takes it on the full, cue-ends the scoop towards deep mid-wicket and they take on Jadeja on the second run, completed it easily in the end ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.2," SN Thakur to Brathwaite, wide, this time misses the wide yorker and sprays it outside off, Brathwaite swings and misses. But it was well away from the tramline ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
19.1," SN Thakur to Brathwaite, no run, yorker outside off, Brathwaite squeezes the drive to mid-off and denies the single ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
18.6," Lungi Ngidi to Brathwaite, 1 run, just a single to cap off the 19th over. Short of length and outside off, Brathwaite runs it down to third man and retains strike. Top spell from the South African, 4-0-20-1 ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
18.5," Lungi Ngidi to Bhuvneshwar, 1 run, on a length outside off, clears his front leg and slices the loft on the bounce to sweeper cover. Rayudu thought about going for the catch, but thought otherwise ",1st Inns,Qua,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Shreevats Goswami(w), Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Carlos Brathwaite, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma","Chennai Super Kings (Playing XI): Ambati Rayudu, Shane Watson, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Lungi Ngidi",,,IPL,2018,"Wankhede Stadium,Mumbai","May 22,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 2 wkts,Faf du Plessis,CSK,field,SRH,CSK
