ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
19.6," Prasidh to Bhuvneshwar, out Bhuvneshwar Run Out!! Wow. Wow. This is exceptional finish from Krishna and KKR. 4 wickets and just 4 runs in the over. Take a bow, Krishna. Ushered it short and gets it to rise over Kumar's attempted hoick. Fails to connect and they try to sneak in a bye. But DK hits the bulls-eye and catches the batsman well short of his crease. Bhuvneshwar run out (Karthik) 0(1) ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
19.5," Prasidh to Rashid Khan, out Caught by Karthik!! Raining wickets for Kolkata. Two in two for Krishna and he becomes the second player from Karnataka to take four wickets so far today, informs my colleague Varun Dixit. Banged in short just outside off, Rashid slogs across the line and gets a thick top-edge that goes high in the air. Skipper takes the matter in his own hands and backtracks, keeps his eyes on the ball and nestles it safely in his glove. Rashid Khan c Karthik b Prasidh 0(1) ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
19.4," Prasidh to Shakib, out Caught by Narine!! And Shakib combusts. Krishna has been pretty impressive today. The slower short ball, angling at Shakib, who in a bid to pull - gets it high on the bat. Skes it to square leg and Narine ain't dropping those. Shakib c Narine b Prasidh 10(7) [4s-2] ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
19.3," Prasidh to Shakib, FOUR, misses the yorker on this occasion and Shakib makes him pay. Fuller length delivery outside off, Shakib plants his front foot across and hammers the drive through extra cover. Rocketed away to the fence ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
19.2," Prasidh to Shakib, no run, wowza! The toe-crusher from Krishna. Shakib has to take his front leg out of the way to jam it out ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
19.1," Prasidh to Manish Pandey, out Caught by (sub)Rinku Singh!! Has that been taken? Oh, it has. It has. The default Sub fielder for KKR - Rinku Singh takes a stunning catch. Another one falls and SRH are losing the plot here. Second wicket for Krishna, who's been brilliant in his fresh spell. The slower ball, that dips and Pandey takes it on the full to mow it towards deep mid-wicket. Doesn't get it off the middle and the ball was dying in front of Rinku - who dives forward and gobbles it up. Manish Pandey c (sub)Rinku Singh b Prasidh 25(22) [4s-2 6s-1] ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
18.6," A Russell to Shakib, no run, superb from Russell. Harpoons in the widish yorker, makes Shakib to reach for it. He threw his bat but was well out of reach ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
18.5," A Russell to Shakib, no run, pacy bouncer, rears off the deck and Shakib looked to ramp it over the keeper. Is defeated by the spicy bounce ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
18.4," A Russell to Shakib, FOUR, Russell persists with short to Shakib, but it was the slower short ball and Shakib read it early. Stayed back and pulled it over square leg ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
18.3," A Russell to Shakib, 2 runs, full on the pads, Shakib whips it to the left of deep mid-wicket and gets a brace as Searles mops it up ",1st Inns,54t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Javon Searles, Piyush Chawla, Prasidh Krishna, Kuldeep Yadav",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 19,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 5 wkts,Chris Lynn,SRH,bat
