ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line
19.6," Prasidh to Rashid Khan, SIX, Rashid, you beauty! He has given SRH the total they were looking for. 24 runs off the final over. Just what the doctor order for SRH. It was the slow off-cutter and Rashid picked the bones out of that, waited for it and thumped it over the long-on fence for a maximum. Tom Moody, the SRH coach, now affords a smile and has a word with Williamson ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,6,0,,
19.5," Prasidh to Rashid Khan, 2 runs, in the air and safe. Another slower delivery and Rashid goes full throttle on the heave, the top-edge flies over the square leg fielder and lands in no man's land. Well away from deep mid-wicket as well ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,2,0,Full,
19.5," Prasidh to Rashid Khan, wide, pressure, that is what it does. Prasidh loses his control and sprays it outside off, Rashid thought about going after it, but then aborted from the shot and collected a wide ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,wide,1,,wide
19.4,"Prasidh to Rashid Khan, SIX, oh geez! ""This is the shot of the innings,"" calls Sanjay M on air and couldn't agree more. Full on off, Rashid went deep in the crease and whipped it with all his bottom hand over deep backward square. It was just a flick of the wrists and the pace of Prasidh took care of the rest",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,6,0,Full,off side
19.3," Prasidh to Rashid Khan, FOUR, lovely batting from Rashid. It was the slower delivery and he didn't try to overhit it, saw mid-off inside the circle and delayed his loft for a second, struck it cleanly and got a one bounce four ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,4,0,,
19.2," Prasidh to Bhuvneshwar, 1 run, fuller and around off, Bhuvi moves back and across, flicks to deep mid-wicket. Over to Rashid ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,1,0,Full,
19.1," Prasidh to Bhuvneshwar, FOUR, good start to the over, some glove love as well between Bhuvi and Rashid. Short and outside off, Bhuvi arches back and carves the cut over backward point. No one out there to stop that from reaching the fence ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,4,0,Good,off side
18.6," Shivam Mavi to Rashid Khan, SIX, Rashid is playing a blinder here. And he still has one over to go. Can he get SRH to 165-170? Full and outside off, Rashid reaches out for it, down on knee and smashing it a long way back into the deep extra cover stand. A top order batsman would have been proud of that shot ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,6,0,Full,off side
18.5," Shivam Mavi to Rashid Khan, no run, very slow from Mavi, just 108 clicks and Rashid had to wait and wait to play the cut, and still is beaten by a long way. Mavi has a laugh about it ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,0,0,,
18.4," Shivam Mavi to Rashid Khan, no run, full and outside off, Rashid drills the drive straight to extra cover, denies the risky single ",1st Inns,Qua,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Shakib Al Hasan, Yusuf Pathan, Deepak Hooda, Wriddhiman Saha(w), Carlos Brathwaite, Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, K Khaleel Ahmed","Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Prasidh Krishna, Shivam Mavi",,,IPL,2018,"Eden Gardens,Kolkata","May 25,2018",Kolkata Knight Riders have won the toss and have opted to field,Sunrisers Hyderabad won by 14 runs,Rashid Khan,KKR,field,SRH,KKR,0,0,Full,off side
