ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra
19.6,"Southee to Sandeep Sharma, out Lbw!! Review off the last ball. Would you believe it? It is Southee who has asked Kohli for it. Has Sandeep got outside the line? The original call was not out. Hawk-Eye in and it shows that Sandeep hasn't got outside the line. Three reds and gone. Cheeky from Sandeep, tried to reverse-sweep a full ball on off, missed and once he didn't get bat on that he was dead. Strong final over from Southee and RCB. Sandeep Sharma lbw b Southee 0(1)",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,out,out
19.5,"Southee to Bhuvneshwar, out S Kaul Run Out!! 1 run completed. Confusion and Kaul is gone. Swiped to deep mid, again Kohli is quick and a bit of an yes-no situation, accurate throw on the bounce to Parthiv Patel who whips the bails off, leaving Kaul out. He needed to dive but didn't. RCB finishing strongly. S Kaul run out (Kohli/Parthiv Patel) 1(1)",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,out,out
19.4," Southee to Bhuvneshwar, no run, cutter on a short of length, Bhuvneshwar can only tamely find Southee back with a spliced pull ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,0,0
19.3," Southee to S Kaul, 1 run, full on off, driven to long-on. Just a single this time ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,1,0
19.2," Southee to Rashid Khan, out Rashid Khan Run Out!! 1 run completed. No chance of two and Rashid Khan is miles out. Spliced pull by Rashid Khan, lands in the mid-wicket area, Kohli charges and fires in an accurate throw to Parthiv Patel who does the rest. Rashid Khan run out (Kohli/Parthiv Patel) 1(3) ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,out,out
19.1," Southee to Rashid Khan, no run, length ball, Rashid Khan comes down the track and slashes, finds thin air, bounces over the stumps. Good start for Southee ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,0,0
18.6," Siraj to Saha, out Bowled!! The stumps are a royal mess. 146 clicks this one and it has beaten Saha for sheer pace. Fired in on middle and leg, Saha was looking to scoop and saw two of his pegs splattered. Siraj jumping and punching the air for joy. End of a very good spell. Saha b Siraj 8(5) [6s-1] ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,out,out
18.5," Siraj to Saha, 2 runs, the slower delivery comes up and Saha had to change his shot at the last moment, somehow scoops it in front of deep mid. They rush back for two ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,2,0
18.4," Siraj to Saha, no run, good comeback by Siraj. Follows the backing away Saha with a short delivery, the keeper attempts to ramp and the ball flies over the bat. Under the head too ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,0,0
18.3," Siraj to Saha, SIX, smashed. Saha backs away and clatters the half-volley on the stumps back over the head of Siraj, flat hit and it went all the way. Power from the diminutive Saha ",1st Inns,39t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Sandeep Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Manan Vohra, Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","May 07,2018",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,RCB,field,SRH,RCB,6,0
