ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Jadeja to Ishant, SIX, walks down the pitch and smashes it for a maximum. Just the kind of finish DC wanted and the whole of Delhi camp are delighted on seeing Ishant Sharma get his highest score in IPL. It was straight and short from Jaddu, Ishant ambled down and clobbered it straight back over the bowler's head. Crashed flat into the boundary hoardings... ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Ishant, Jadeja,6,0,Short,,down the pitch,,,,201959
19.5," Jadeja to Ishant, FOUR, no spin on this, Ishant uses his long levers and muscles it to the left of long-on, Faf tried his best to get behind the ball but Ishant, perhaps, timed it too well ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Ishant, Jadeja,4,0,,,long-on,,,,201959
19.4," Jadeja to Ishant, no run, quicker on off-stump, pushed back to the bowler ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Ishant, Jadeja,0,0,,off side,,push shot,,,201959
19.3," Jadeja to Boult, out Bowled!! Clever from Jaddu. Bowled the arm-ball and managed to beat the inside edge. Boult expected it to be around off-stump and poked at it without much conviction, the ball dips short of him and smashes the leg bail. Boult b Jadeja 6(3) [6s-1] ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Boult, Jadeja,out,out,Short,,,edge,,bowled,201959
19.2," Jadeja to Boult, SIX, shortens his length and keeps it around off, Boult stays on the back foot and thrashes it way over long-on ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Boult, Jadeja,6,0,Short,,long-on,,,,201959
19.1," Jadeja to Boult, no run, flat and fast on off-stump, Boult forces it straight back at Jaddu who couldn't cling onto a return catch ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Boult, Jadeja,0,0,,off side,straight,,,,201959
18.6," Chahar to Mishra, FOUR, gets across and picks Chahar off his pads over fine leg, clean swing of the bat and timed it to perfection ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Mishra, Chahar,4,0,,,fine leg,,,,201959
18.5," Chahar to Mishra, 2 runs, magical stuff from Faf! Leaps as high as he could at long-on and nearly pulls off a stunner. Full and in the slot for Mishra, he swats it high into the air and would have been a maximum had Faf not intervened. Faf caught the ball and just as he started to lose balance, flicked the ball back into play ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Mishra, Chahar,2,0,Full,,long-on,pull shot,,,201959
18.4," Chahar to Pant, out Caught by Dwayne Bravo!! Pant had to go for the big shot and unfortunately for DC, he loses balance as one hand comes off the bat. Hits the slog flat and DJ Bravo times his jump to perfection at wide long-on to gobble the catch. Pant c Dwayne Bravo b Chahar 38(25) [4s-2 6s-1] ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Pant, Chahar,out,out,,wide,long-on,slog shot,,"Catch out , dwayne bravo",201959
18.3," Chahar to Pant, 2 runs, freaky! Slower back of a length delivery outside off, Pant stands his ground swipes it over square short third with a cheeky scoop, the fielder in the deep got to the ball quickly but there was no-one waiting at the bowler's end. Mishra wasn't even in the frame ",1st Inns,qualifier 2,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Deepak Chahar, Shardul Thakur, Imran Tahir","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Munro, Axar Patel, Sherfane Rutherford, Keemo Paul, Amit Mishra, Trent Boult, Ishant Sharma",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 10,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Faf du Plessis,CSK,field,DC,CSK,Pant, Chahar,2,0,Back of Length,off side,square,,,,201959
