ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6,"Dwayne Bravo to Hardik Pandya, 2 runs, 17 runs of the final over but Chennai Super Kings have done exceptionally well in the death overs. A well bowled yorker by Bravo and it's been squeezed through cover-point by Pandya for a couple of runs to end the innings. Target for CSK - 156",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Hardik Pandya,Dwayne Bravo,2,0,yorker,,cover,,,,201944
19.5,"Dwayne Bravo to Hardik Pandya, SIX, 150 up for Mumbai and that too in style. Pandya latches on to the slower delivery, right into the slot and it's been muscled over the long-on fence, huge six",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Hardik Pandya,Dwayne Bravo,6,0,Slot,,long-on,,,,201944
19.4," Dwayne Bravo to Hardik Pandya, FOUR, that's a short-arm jab. A full toss on off and Pandya's strong bottom hand does all the talking. Short-arm jabs over Pollard who was ducking for cover. Pressure back on Bravo! ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Hardik Pandya, Dwayne Bravo,4,0,Short,off side,cover,,,,201944
19.3," Dwayne Bravo to Hardik Pandya, no run, Pandya moves across to play this one but Bravo cheekily fires a wide yorker. It was outside the tramline too but the batsman had moved far too across for that to be signalled a wide ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Hardik Pandya, Dwayne Bravo,0,0,yorker,wide,,,,,201944
19.2," Dwayne Bravo to Pollard, 1 run, slaps this one hard but straight to the fielder at long-off, just a single ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Pollard, Dwayne Bravo,1,0,,,straight,,,,201944
19.1," Dwayne Bravo to Pollard, FOUR, that's hammered! Right into the slot and the big arms take over. KP gets underneath it and smashes it over the bowler's head. Luckily there was some elevation, else Bravo's head could have been in trouble ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Pollard, Dwayne Bravo,4,0,Slot,,,,,,201944
18.6," Chahar to Hardik Pandya, no run, Chennai Super Kings have pulled things back dramatically in the final overs. Chahar bowls a slower short ball outside off and Pandya leaves it. Was expecting an over-head wide but the leg umpire reckons it wasn't one. 10 runs of the over but Mumbai would have wished for more ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Hardik Pandya, Chahar,0,0,Short,off side,,pull shot,,,201944
18.5," Chahar to Pollard, 1 run, drags back the length on this ball and hurries up the batsman, Pollard can get nothing more than a single as his pull is mistimed into the leg side ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Pollard, Chahar,1,0,Good,,,pull shot,,,201944
18.4," Chahar to Pollard, 2 runs, fired on leg, Pollard looks to flick it away but the ball catches the inside edge and comes off his pads to roll in front of square leg, two quick runs taken ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Pollard, Chahar,2,0,,leg side,square leg,edge,,,201944
18.3," Chahar to Pollard, FOUR, first one of the innings for Pollard. Finally gets one right. Wasn't middled though! Short of a length delivery that kept a touch low, KP swung hard at it and got an inside edge that rolled past the man at short fine leg. The fielder in the deep was very square too, hence he couldn't quite get there ",1st Inns,44th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Shane Watson, Murali Vijay, Suresh Raina(c), Ambati Rayudu(w), Dhruv Shorey, Kedar Jadhav, Dwayne Bravo, Mitchell Santner, Deepak Chahar, Harbhajan Singh, Imran Tahir","Mumbai Indians (Playing XI): Quinton de Kock(w), Evin Lewis, Rohit Sharma(c), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, Anukul Roy, Rahul Chahar, Lasith Malinga, Jasprit Bumrah",,,IPL,2019,"MA Chidambaram Stadium,Chennai","Apr 26,2019",Chennai Super Kings have won the toss and have opted to field,Mumbai Indians won by 46 runs,Rohit Sharma,CSK,field,MI,CSK,Pollard, Chahar,4,0,Short,,short fine leg,edge,,,201944
