ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6,"Dwayne Bravo to Kohli, 1 run, just a single to end the innings. This was right up there around the blockhole, Kohli squeezes the drive straight to extra cover, he has to be content with a single",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli,Dwayne Bravo,1,0,,
19.6," Dwayne Bravo to Kohli, wide, Bravo does not like it. He feels Kohli had moved across. The wide yorker and it is just beyond the tramline, Kohli let it pass as he knew that would be a wide ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,wide,1,yorker,wide
19.5," Dwayne Bravo to Kohli, 2 runs, he missed out there. Low full toss and Kohli went a bit too hard on the whip, the bat turned on impact and he dragged it off the inner half to deep mid-wicket, two more. Kohli is on the haunches taking deep breathes ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,2,0,Full,
19.4," Dwayne Bravo to Kohli, 2 runs, anothet two, hat-trick of doubles. He wants to keep strike as much as possible. Full delivery outside off, Kohli drills it to wide long-off and he is comfortably back for the second, so is Dube.. ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,2,0,Full,off side
19.3," Dwayne Bravo to Kohli, 2 runs, ufff! He's batted almost for 18 overs now and he still has the energy to put in the dive and make his ground. Yorker outside off, Kohli squeezes it to deep point and Curran cannot stop the second ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,2,0,yorker,off side
19.2," Dwayne Bravo to Kohli, 2 runs, ouch! That's going to sting. Full and outside off, Kohli walks across and drills it straight back at Bravo, he does well to get his hands up and duck his head down, took the pace off the ball and saved two ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,2,0,Full,off side
19.1," Dwayne Bravo to Kohli, FOUR, that's Kohli outsmarting Dhoni and Bravo. They had no fine leg for Kohli as they know he won't play the scoop/lap but the RCB skipper does, he moves a long way across and laps it through the vacant fine leg region. He enjoyed that as he pointed out to someone in the dressing room. AB? ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Kohli, Dwayne Bravo,4,0,,
18.6," Thakur to Shivam Dube, no run, oh! That's excellent bowling. The yorker outside off and it is just inside the tramline, Dube tries to squeeze it out but fails to lay bat on that. Good end to the over ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Shivam Dube, Thakur,0,0,yorker,off side
18.5," Thakur to Shivam Dube, no run, right into the blockhole and Dube digs it right back to Thakur ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Shivam Dube, Thakur,0,0,,
18.4," Thakur to Shivam Dube, 2 runs, in the air and safe. It was in the air for an eternity but landed safely. Cross-seamer angled across the left hander, Dube slices it over extra cover and is lucky that it was Watto tracking back to take the catch, he doesn't get there and the pair get two more ",1st Inns,25t,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Karn Sharma","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Gurkeerat Singh Mann, Shivam Dube, Chris Morris, Washington Sundar, Isuru Udana, Navdeep Saini, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 10,2020",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,RCB,bat,RCB,CSK,Shivam Dube, Thakur,2,0,,
