ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Rabada to Chawla, out Chawla Run Out!! 1 run completed. Confusion and it results in a run out. Chawla mistimes the loft towards long-on and he was never interested in the second, Kuldeep pushed for it and Chawla decided to go, but the batsmen didn't cross each other when Rabada removed the bails which means Chawla was the one to be dismissed. Chawla run out (Dhawan/Rabada) 12(5) [4s-1 6s-1] ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Chawla, Rabada,out,out,,
19.5," Rabada to Chawla, FOUR, all these are bonus runs. Banged in short and aimed for the badge on the helmet, Chawla pulls and the top-edge runs away fine beating Patel near the fine leg fence ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Chawla, Rabada,4,0,Short,
19.4," Rabada to Kuldeep Yadav, 1 run, yorker length around leg-stump, Kuldeep squeezes it out to fine leg ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Kuldeep Yadav, Rabada,1,0,yorker,
19.3," Rabada to Kuldeep Yadav, 2 runs, full and slanting into the batsman, clipped to mid-wicket and another fumble allows the second ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Kuldeep Yadav, Rabada,2,0,Full,
19.2," Rabada to Kuldeep Yadav, 2 runs, the wheels are coming off the Delhi side. Kuldeep is rushed on the pull and mistimes it to mid-off, Iyer charges across and fumbles to allow the batsmen to collect the extra run ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Kuldeep Yadav, Rabada,2,0,,
19.1," Rabada to Kuldeep Yadav, FOUR, poor bowling from Rabada. He misses the yorker and bowls a juicy full toss outside off, Kuldeep uses the pace and steers it to third man, no one there to stop the boundary ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Kuldeep Yadav, Rabada,4,0,yorker,off side
18.6," Mishra to Chawla, no run, wrong 'un and Chawla is early into the sweep, the cue-end takes the ball back to Mishra ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Chawla, Mishra,0,0,,
18.5," Mishra to Kuldeep Yadav, 1 run, flighted on the stumps, Kuldeep reverse sweeps to short third man ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Kuldeep Yadav, Mishra,1,0,Short,stump line
18.4," Mishra to Karthik, out Caught by Pant!! He walks! Some respite for Mishra, who has taken a beating in this over. This would have been a wide had Karthik let go but instead he goes chasing after it. The leg-break trying to keep it away from the batsman's range, but DK reaches out and feathers an outside edge to Pant. He does not even wait for the umpire to raise his finger. Karthik c Pant b Mishra 50(36) [4s-5 6s-2] ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Karthik, Mishra,out,out,,wide
18.3," Mishra to Karthik, SIX, fifty for Karthik. Cometh the hour, cometh the captain. This is what responsibility has done to DK. He is a completely different batsman and this knock should rate among his best. Shuffles across, bends down and sweeps it high and into the stands at fine leg ",1st Inns,10t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Hanuma Vihari, Chris Morris, Sandeep Lamichhane, Kagiso Rabada, Harshal Patel, Amit Mishra","Kolkata Knight Riders (Playing XI): Chris Lynn, Nitish Rana, Robin Uthappa, Nikhil Naik, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Mar 30,2019",Delhi Capitals have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Prithvi Shaw,DC,field,KKR,DC,Karthik, Mishra,6,0,,
