ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Tye to Uthappa, FOUR, oh that's a fantastic shot! Tries backing away towards the on-side initially, then steps across shaping up to scoop, and then moves back again, only to steer that back of a length slower delivery in the channel late, with an open face, wide of backward point towards the deep backward point fence for four to finish off the innings... ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,Uthappa, Tye,4,0,Back of Length,wide
19.5," Tye to Karthik, 1 run, length delivery on off-stump, Karthik carts it flat down to long-on for a single ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,Karthik, Tye,1,0,Good,off side
19.4,"Tye to A Russell, out Caught by Agarwal! Short ball angling in but still outside off, Russell needs no distance parameter to get leverage on that - the force is more than enough - but then, Agarwal at the cow corner fence, hops up to take a magnificent catch. Absolute carnage once again, and he's done his job, has DreRuss. Misses out on a fifty for the second time in a row. A Russell c Agarwal b Tye 48(17) [4s-3 6s-5]",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell,Tye,out,out,Short,off side
19.3," Tye to Uthappa, 1 run, a slower bouncer @114.3km/h, Uthappa is early into the pull, checks it to backward square leg for a single. In the air for a while, but safe... ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,Uthappa, Tye,1,0,,
19.2," Tye to A Russell, 1 run, slower delivery wide outside off, a tad short, Russell goes for a pull across the line, gets it off a thick under-edge to long-on for a single ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell, Tye,1,0,Short,wide
19.1," Tye to Uthappa, 1 run, very full delivery on the pads, clippde away to deep square leg for a quick single ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,Uthappa, Tye,1,0,Full,stump line
18.6,"Shami to A Russell, FOUR, looks like he's just streamed that 2011 flick ""Carnage"" before getting to the ground, has DreRuss. A wide half-volley this time, clearly indicating that Shami has lost the plot, and Russell has absolutely smoked that through deep extra cover for four. Gaps? The fielders can't see that whizzing projectile - such is the power. That's the second 25-run over in the innings.",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell,Shami,4,0,,wide
18.5," Shami to A Russell, SIX, another full-toss, 142.9km/h, from round the wicket, misses the yorker by a long way, clearly holding the ball too tight, Russell follows that algorithm of opening up that stance for a trigger and carts it over deep mid-wicket for six ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell, Shami,6,0,Full toss,
18.4," Shami to A Russell, SIX, attempts another yorker, errs on the fuller side this time, a full-toss in the slot, Russell swings across the line, clubs a gigantic six over cow corner - spectators of Bengal, watch out! ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell, Shami,6,0,yorker,
18.3," Shami to A Russell, SIX, 143.1km/h, an inch too short for the yorker length = half-volley, Russell opens up his stance, clears the front-leg, and absolutely clouts that over long-off for six ",1st Inns,6th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Nitish Rana, Robin Uthappa, Dinesh Karthik(w/c), Shubman Gill, Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Hardus Viljoen, Ravichandran Ashwin(c), Varun Chakravarthy, Mohammed Shami, Andrew Tye",,,IPL,2019,"Eden Gardens,Kolkata","Mar 27,2019",Kings XI Punjab have won the toss and have opted to field,Kolkata Knight Riders won by 28 runs,Andre Russell,PBKS,field,KKR,PBKS,A Russell, Shami,6,0,Short,
