ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Ferguson to Shankar, 2 runs, a run-out appeal and the third umpire will have a look. Shankar was scampering back, but has he beaten Shubman's throw? Oh yes, he's well in and SRH finish with 181. Very full and well outside off, squeezed away square on the off-side and Shankar was always coming back for the second run, the throw and was flat and accurate, but not enough to beat the sprinting batsman ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Ferguson,2,0,Full,off side,square
19.5," Ferguson to Shankar, 2 runs, very full and at the stumps, Shankar gets his left leg out and chips it back over the bowler's head, Prasidh did very well to get across from long-off, slid and then pulled the ball back in - saved two runs for his team ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Ferguson,2,0,Full,stump line,long-off
19.4," Ferguson to Shankar, FOUR, much-needed boundary for Shankar, spotted the slower ball and then delayed the pull, gets it wide of mid-wicket and runs away to the ropes ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Ferguson,4,0,,wide,mid-wicket
19.3," Ferguson to Manish Pandey, 1 run, full and at the stumps, Manish clears his left leg and finds long-on with the drive ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Manish Pandey, Ferguson,1,0,Full,stump line,long-on
19.2," Ferguson to Shankar, 1 run, yorker length delivery on off, squeezed down towards long-on for a single ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Ferguson,1,0,yorker,off side,long-on
19.1," Ferguson to Manish Pandey, 1 run, slower delivery outside off, eased away square on the off-side for a single ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Manish Pandey, Ferguson,1,0,,off side,square
18.6," Prasidh to Shankar, FOUR, handy runs for Shankar, on a length and tailing back into the right-hander, he waited on it and then clipped it backward of square on the on-side - right in the gap between the two fielders in the ring and it runs away to the ropes ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Prasidh,4,0,Good,,square
18.5,"Prasidh to Shankar, no run, Shankar has been given OUT LBW and he wants a review. Was the ball tailing enough to miss the leg-stump? It's a fair delivery, think there's no bat on that and I feel it's sliding down - the impact seems to be in front of leg. UltraEdge confirms that there's no bat on that. Hawk-Eye in: Missing and Shankar survives. Low full-toss and the late tail beat Shankar's attempted whip, struck him low and was going down with the angle",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar,Prasidh,0,0,Full toss,,
18.4," Prasidh to Shankar, no run, good comeback from Prasidh, spotted Shankar backing away and went full and wide of off, Shankar had to reach out for the shot and missed ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Prasidh,0,0,Good,wide,
18.3," Prasidh to Shankar, SIX, cracking shot, the slower ball from Prasidh, but the ball simply sat up to be smacked, Shankar made room and clears long-on by a distance - simply stunning from Shankar ",1st Inns,2nd,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Shubman Gill, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Piyush Chawla, Kuldeep Yadav, Lockie Ferguson, Prasidh Krishna","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Manish Pandey, Deepak Hooda, Shakib Al Hasan, Vijay Shankar, Yusuf Pathan, Rashid Khan, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul",,,IPL,2019,"Eden Gardens,Kolkata","Mar 24,2019",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Andre Russell,KKR,field,SRH,KKR,Shankar, Prasidh,6,0,,,long-on
