ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Bumrah to Rinku Singh, out Caught by Hardik Pandya!! Taken! Bumrah ends the innings with a couple of wickets. A fast full toss on the stumps, Rinku Singh gave it his all to clear the field near long-on, but could not get the distance. Hardik is well inside the rope as he takes it calmly. Rinku Singh c Hardik Pandya b Bumrah 4(6) ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 19.5 ," Bumrah to Uthappa, out Caught by Rohit!! The pain, the suffering comes to an end. The off-cutter from Bumrah and it dips on Uthappa, who looks to go across the line, the toe-end goes straight up and Rohit settles under it near extra cover. He walks back to the dressing room and would love to be a fly in there. Uthappa c Rohit b Bumrah 40(47) [4s-1 6s-3] ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 19.4 ," Bumrah to Rinku Singh, 1 run, in the air and safe.. Rinku Singh is trying his best to provide the flourish but he lacks power, miscues the slower delivery and it lands just in front of the incoming long-on fielder ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 19.3 ," Bumrah to Uthappa, 1 run, 127.3ks length ball and Uthappa toe-ends the big hit down to long-off ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 19.2 ," Bumrah to Uthappa, no run, completely foxed by a Bumrah special. The loop, the dip and the break in would make any offie proud, Uthappa had no clue about it as he just swung blindly and hoped to connect ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 19.1 ," Bumrah to Rinku Singh, 1 run, full, slow and outside off, Rinku Singh swipes it along the ground to long-on ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.6 ," McClenaghan to Rinku Singh, 1 run, slower short of length delivery and Rinku Singh drags it to deep square leg ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.5 ," McClenaghan to Rinku Singh, no run, off-speed delivery and Rinku Singh can only connect with thin air ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.4 ," McClenaghan to Uthappa, 1 run, slower bouncer and Uthappa cue-ends the pull in front of long-on ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.4 ," McClenaghan to Uthappa, wide, McClenaghan is trying to keep it away from Uthappa's arc and is spraying them too far outside off, third of the over ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.3 ," McClenaghan to Rinku Singh, 1 run, no pace offered and Rinku Singh cue-ends the slash square on the off-side ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.2 ," McClenaghan to Uthappa, 1 run, full and outside off, Uthappa flat-bats it along the ground to long-on ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.2 ," McClenaghan to Uthappa, wide, walks across a bit but McClenaghan slants it way outside off, second wide of the over ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.1 ," McClenaghan to Uthappa, no run, very inconsistent umpiring. This was almost similar to the previous one and umpire Nandan does not call it a wide this time, he gestures that it was within the guideline ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 18.1 ," McClenaghan to Uthappa, wide, slower delivery that is well away from the tramline, singalled a wide ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.6 ," Malinga to Uthappa, 1 run, full and slanted across off, whipped away to deep mid-wicket and Uthappa retains strike ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.5 ," Malinga to Uthappa, no run, uses that round the wicket angle and fires it outside off, Uthappa can't reach to connect with the drive ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.4 ," Malinga to Uthappa, no run, nails another yorker and Uthappa can only jam it back to Malinga ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.3 ," Malinga to Uthappa, no run, dipping yorker around off, Uthappa heaves across the line and is done in by the slowness ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.3 ," Malinga to Uthappa, wide, sharp bouncer which flies over the swinging blade of Uthappa, called a wide for height ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
 17.3 ," Malinga to Uthappa, wide, walks down and across his stumps, Malinga pushes it way outside off, this time the umpire calls a wide. Strange! He had moved across this time as well but is still penalized ",KKR Inns,56t,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Ishan Kishan, Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mitchell McClenaghan, Rahul Chahar, Jasprit Bumrah, Lasith Malinga","Kolkata Knight Riders (Playing XI): Shubman Gill, Chris Lynn, Robin Uthappa, Andre Russell, Dinesh Karthik(w/c), Nitish Rana, Sunil Narine, Rinku Singh, Harry Gurney, Sandeep Warrier, Prasidh Krishna",,,IPL,2019,"Wankhede Stadium,Mumbai","May 05,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 9 wkts,Hardik Pandya,MI,field
