ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Bumrah to Mandeep, FOUR, short of length delivery outside off, Mandeep makes room for himself and spears the cut between short third man and backward point. Smashing finish for the Kings XI ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 19.5 ," Bumrah to Rahul, leg byes, 1 run, sharp bounces that hits Rahul on the right shoulder before ballooning towards point. The bat came flying out of his hands after impact ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 19.4 ," Bumrah to Rahul, 2 runs, he's slipped at the non-striker's end while coming back for two, but he manages to pick himself up for the second run. Take a bow, KL Rahul, it's been a pleasure. Slower ball wide of off, jams it towards long-off and then pushes hard on the first run. Mandeep is a willing ally at the danger end, and so Rahul gets to the ton he deserves ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 19.3 ," Bumrah to Rahul, no run, isn't that a wide? Not for the umpire, it isn't. Short ball that's got good height on it and whistles past Rahul's left shoulder. Looked like it was down leg. Quite a fiery delivery that. Probably a fair call ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 19.2 ," Bumrah to Rahul, no run, back of a length, fizzes through outside off and beats Rahul for pace more than anything. Rahul's really annoyed with himself ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 19.1 ," Bumrah to Rahul, SIX, here's six of them. He's deep in the crease to Bumrah, he's cleared his front leg and he's swung this into the stands behind deep midwicket. Bumrah missing his length there ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 18.6 ," Hardik Pandya to Mandeep, 2 runs, another one that's nearly in the blockhole, Mandeep jams it into the on-side, between long-on and deep midwicket ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 18.5 ," Hardik Pandya to Rahul, 1 run, gets the yorker in and escapes further punishment as Rahul can only jam it in front of point ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 18.4 ," Hardik Pandya to Rahul, SIX, and six more. He's tearing into Hardik Pandya here. 22 off the over already, with two balls left. And Pandya doesn't know how to react. Poor bowling to be honest. Offers length outside off and is slapped back over long-off ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
 18.3 ," Hardik Pandya to Rahul, SIX, the result of that deliberation is a short ball at the body. It's brisk from Pandya, but Rahul's sharper. He's onto the back foot quicker, swinging the pull over fine leg ",PBKS Inns,24t,Mumbai Indians,Punjab Kings,"Mumbai Indians (Playing XI): Siddhesh Lad, Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Krunal Pandya, Kieron Pollard(c), Hardik Pandya, Rahul Chahar, Alzarri Joseph, Jason Behrendorff, Jasprit Bumrah",,,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 10,2019",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 3 wkts,Kieron Pollard,MI,field
