ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Unadkat to Hardik Pandya, no run, superb ball to finish! Fine yorker on middle and leg, Hardik tries to dig it out but can only cue-end it back towards Unadkat who stops it to prevent the run ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,0,0,yorker
19.5," Unadkat to Hardik Pandya, SIX, smoked away! Slower ball but it's in the slot and Hardik has picked it as well. Sits deep to clobber this over long-on. For a moment, Buttler thought he had another catch but in the end, it's well over his head. Brilliant cameo from Hardik ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,6,0,Slot
19.5," Unadkat to Hardik Pandya, wide, fiery bumper, well-directed but it's over Hardik's head as he tries to pull. Misses and after a thought, the umpire decides to call to wide it ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,wide,1,
19.5," Unadkat to Hardik Pandya, wide, misses the wide yorker again and this time, it's well wide outside off. Called as well ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,wide,1,yorker
19.4," Unadkat to Hardik Pandya, FOUR, two was the call from Hardik as he hit this but he's got enough power to get this all the way to the fence. Slower short ball, he tried to muscle it with all his might and forced this through the gap at mid-wicket. Bisected the big gap on the leg-side and though the mid-wicket fielder tried to get across, he couldn't ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,4,0,Short
19.3," Unadkat to Hardik Pandya, no run, tight call but the umpire gives it in favor of the bowler. Unadkat missed the wide yorker and it was a full toss that Hardik couldn't really connect. Valuable dot ball ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Unadkat,0,0,yorker
19.2," Unadkat to Ishan Kishan, out Caught by Buttler!! Buttler is having a field day with his catching. This is a dolly though. Was a low full toss and Kishan couldn't quite get the desired distance on the loft. Skewed it more off the toe-end and it went flat to long-off where Buttler made no mistake. Hardik Pandya has got back on strike though as the batsmen crossed and that's a positive for MI. Ishan Kishan c Buttler b Unadkat 5(3) [4s-1] ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Ishan Kishan, Unadkat,out,out,Full
19.1," Unadkat to Ishan Kishan, FOUR, Kishan joins the party now. Length ball from Unadkat, horror stuff at this stage of the innings and it's heaved away over the gap at mid-wicket. Struck really hard ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Ishan Kishan, Unadkat,4,0,Good
18.6," Jofra Archer to Hardik Pandya, SIX, lovely mini-helicopter from Hardik! It's a shot that he's developed in recent times and not only is it great to watch but also is extremely effective. Archer didn't really miss his yorker by much here, was quite full in length but HP is sitting very deep, waiting for any slipup in length. Then just propels it with that flourish of his to send it deep into the stands ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Hardik Pandya, Jofra Archer,6,0,yorker
18.5," Jofra Archer to Ishan Kishan, 1 run, Archer continues to offer no pace, shortish as well and Kishan had to wait forever before pulling this to deep square leg ",1st Inns,27t,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Kieron Pollard, Hardik Pandya, Krunal Pandya, Alzarri Joseph, Rahul Chahar, Jason Behrendorff, Jasprit Bumrah","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Steven Smith, Rahul Tripathi, Liam Livingstone, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni",,,IPL,2019,"Wankhede Stadium,Mumbai","Apr 13,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Jos Buttler,RR,field,MI,RR,Ishan Kishan, Jofra Archer,1,0,Short
