ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Jordan to Karthik, out Karthik Run Out!! 1 run completed. Karthik wants a second run and is caught miles short of the ground - was always a non-existent run, but this was the last ball and DK tried to sneak in that extra run. Banged in short and he was cramped for room on the pull, muscled it wide of mid-wicket and Pooran's return was good enough. Simran Singh threw himself at the stumps and breaks it, with Karthik well short. Karthik run out (Pooran/Simran Singh) 58(29) [4s-8 6s-2] ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Jordan,out,out,Short,wide
19.5," Jordan to Karthik, no run, this is a good finish from KXIP - yorker length delivery outside off and Karthik can't squeeze his bat under it ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Jordan,0,0,Good,off side
19.5," Jordan to Karthik, wide, the slower bouncer from Jordan, but he has spilled this well down leg, called as a wide ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Jordan,wide,1,,wide
19.4," Jordan to Cummins, 1 run, low full-tos and Cummins sliced the drive towards extra-cover. Bishnoi does well to slide and keeps them down to a single ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Cummins, Jordan,1,0,Full,
19.3," Jordan to Karthik, leg byes, 1 run, on a length and angling into Karthik's pads, beats him on the flick and lobs towards long leg off the pads. DK wants a second, but Shami was quick on the ball ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Jordan,byes,1,Good,
19.2,"Jordan to Karthik, FOUR, cracking shot, back of a length and just outside off, can't bowl this length with third man in - Karthik was slightly cramped on the cut, but still went through and cleared that fielder - almost went all the way, bounced just in front of the ropes",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik,Jordan,4,0,Back of Length,off side
19.1," Jordan to Cummins, 1 run, back of a length and just outside off, a straight pull from Cummins and KL does well to keep them down to a single - scampers and slides across from mid-off ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Cummins, Jordan,1,0,Back of Length,off side
18.6," Arshdeep Singh to Karthik, no run, another dot ball to finish the spell, yorker length delivery and angling across the right-hander, Karthik shapes for the drive and misses ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Arshdeep Singh,0,0,yorker,
18.5," Arshdeep Singh to Karthik, no run, this is a superb over from Arshdeep, despite the wides - follows Karthik as he went right across the stumps with an away angling delivery, Karthik was looking to sweep and is beaten ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Karthik, Arshdeep Singh,0,0,,wide
18.4," Arshdeep Singh to Cummins, 1 run, change of pace on this off-cutter and Cummins is early into the clip, hits it in the air and the ball bounces well in front of deep mid-wicket ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Cummins, Arshdeep Singh,1,0,,
