ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
19.6," D Kulkarni to Ashwin, SIX, terrific cameo from Ashwin to finish! Premeditates the yorker and walks across the stumps early, thereby putting Kulkarni off. The result is a full toss that's paddle scooped beautifully. All the way over fine leg ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
19.5," D Kulkarni to Ashwin, SIX, crunched! Solid hit from the KXIP skipper. Picked the slower ball and the shorter length helped, he sat deep on the back foot and clouted it merrily across the line. Superb batting! ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
19.4," D Kulkarni to Mujeeb, leg byes, 1 run, terrific yorker, Mujeeb wanted to dig it out but gets struck on the boot as this trickles towards short third man. Muted LBW appeal, was missing leg though ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
19.3," D Kulkarni to Ashwin, 1 run, short of a length and Ashwin gives the charge to punch this with a straight bat. Timed it well but Buttler does well at mid-off with a slide ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
19.2," D Kulkarni to Ashwin, FOUR, useful boundary for KXIP! Width on offer and shortish as well, Ashwin was waiting for any room to be provided and sliced it away wide of backward point. Third man had no chance of cutting it off ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
19.1," D Kulkarni to Miller, out Caught by Buttler!! The KXIP innings is falling apart at the final leg, thereby derailing that flourish that they were looking for. The well-set Miller is the latest casualty. Made room for the big shot but Kulkarni followed him with a slower ball on a good length. Couldn't free his arms properly and ended up skewing the loft high into the night skies at deep mid-wicket. Not easy, these high catches but Buttler is a pro in the outfield. Pouches the skier with ease. Miller c Buttler b D Kulkarni 40(27) [4s-2 6s-2] ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
18.6," Jofra Archer to Mandeep, out Bowled!! The leg stump has been flattened! Outstanding over from Archer, just three runs and has taken two wickets too. After a series of fiery pacy deliveries, he opts for the slower one, the back-of-the-hand option and Mandeep clearly hasn't picked it at all. Saw the length very short and backed away for the pull but the ball never really arrived. Ends up getting an inside edge that damages the woodwork. Brilliant fightback from the Royals. Mandeep b Jofra Archer 0(2) ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
18.5," Jofra Archer to Mandeep, no run, Archer is cranking them up and hence, the pace is helping him even if he doesn't nail the yorker perfectly. Full toss at 148kph approximately and Mandeep can only bunt it back towards the bowler ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
18.4," Jofra Archer to Miller, 1 run, another pacy low full toss, heaved away down the ground towards long-off ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
18.3," Jofra Archer to Pooran, out Caught by Rahane!! Mistimed and picks out extra cover. Pooran has been done in for pace here, it's a low full toss but quite brisk and hence, isn't able to connect properly. Ends up cue-ending the shot towards the off-side where the RR skipper takes a tumbling catch, diving forward. This is a fine passage of play for the visitors. Pooran c Rahane b Jofra Archer 5(6) ",1st Inns,32n,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Mandeep Singh, Nicholas Pooran(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Mujeeb Ur Rahman, Arshdeep Singh","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler, Sanju Samson(w), Rahul Tripathi, Ashton Turner, Stuart Binny, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 16,2019",Rajasthan Royals have won the toss and have opted to field,Kings XI Punjab won by 12 runs,Ravichandran Ashwin,RR,field
