ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Shami to Hooda, SIX, 1 off the first 3 balls and 14 off the next 3. T20 cricket for you. Low full toss and Hooda climbed into it. Smoked it over long-off for a sixer. Much needed finish as they scale 150 ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Hooda, Shami,6,0,Full,,long-off,
19.5," Shami to Hooda, FOUR, brilliant shot! Straight drive down the ground. Back past the bowler and it was a four. Was full and Hooda nailed it ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Hooda, Shami,4,0,Full,,Straight,drive
19.4," Shami to Hooda, FOUR, walks across his sticks and tickles the ball away fine. Perfect ball but Hooda managed to get enough bat on it to peel the ball away fine. Shami almost went up in an appeal before realizing that it was off the bat ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Hooda, Shami,4,0,,stump line,,
19.3," Shami to Warner, 1 run, fuller delivery and has been nailed down to long-off for a single. First run of the over ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Warner, Shami,1,0,Full,,long-off,
19.2," Shami to Warner, no run, Warner preempts the ramp shot and misses. There was no deep fine in place and Warner misses as the short ball went over his shoulder ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Warner, Shami,0,0,Short,,,beaten
19.1," Shami to Manish Pandey, out Caught by (sub)Nair!! The field was set for the short stuff and it has worked. Manish Pandey despite waiting on the back foot could not place the pull past the man at deep mid, who hardly moved to cup that. Short ball bereft of room and the pull despite being decently timed wasn't placed in the gap. Manish Pandey c (sub)Nair b Shami 19(15) [4s-2] ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Manish Pandey, Shami,out,out,Short,,,pull shot
18.6," Sam Curran to Warner, FOUR, and a good ball but a bad result. Squeezed through the third man region for a four. Got bat to ball and almost an educated edge to put it fine past short third for a four. 11 off the over. 31 runs off the 3 last overs ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Warner, Sam Curran,4,0,Good,,third man,edge
18.5," Sam Curran to Warner, no run, gives himself too much of room and misses a yorkerish delivery which wasn't far away from the sticks. Lovely bowling ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Warner, Sam Curran,0,0,yorker,stump line,,beaten
18.4," Sam Curran to Manish Pandey, 1 run, angling across the slower delivery and Manish Pandey trying to stay on the back foot and power it, manages to drag the ball away to cover. Didn't get enough power behind the shot ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Manish Pandey, Sam Curran,1,0,,,cover,
18.3," Sam Curran to Warner, 1 run, the partnership between Warner and Manish Pandey is now 50. Lowish full toss on the pads. The best that Warner can do is whip it away to deep mid for a single ",1st Inns,22n,Kings XI Punjab,Sunrisers Hyderabad,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Sarfaraz Khan, David Miller, Mandeep Singh, Sam Curran, Ravichandran Ashwin(c), Ankit Rajpoot, Mohammed Shami, Mujeeb Ur Rahman","Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar(c), Siddarth Kaul, Sandeep Sharma",,,IPL,2019,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 08,2019",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,KL Rahul,PBKS,field,SRH,PBKS,Warner, Sam Curran,1,0,Full,stump line,,
