ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Dwayne Bravo to U Yadav, 1 run, low full toss on the pads and has been clipped away to deep mid for a single. They didn't chance Jadeja's arm this time. 161 is what they end with ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,U Yadav, Dwayne Bravo,1,0,Full,stump line,,,,
19.5," Dwayne Bravo to Moeen Ali, out Caught by SN Thakur!! Looks to launch the slower ball and holes out at long-off. That was touch slower off the deck and Moeen Ali wanted to muscle it down the ground only to find the man in the deep. Thakur after it taking does a gig. CSK continue their good work at the death. Moeen Ali c SN Thakur b Dwayne Bravo 26(16) [4s-5] ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Dwayne Bravo,out,out,Good,,long-off,,,"Catch out , sn thakur"
19.4," Dwayne Bravo to Moeen Ali, FOUR, steered! Four! past short third man that one. Fuller and wider one, Moeen Ali maintained his balance to squeeze it past short third ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Dwayne Bravo,4,0,Short,wide,short third man,,,
19.3," Dwayne Bravo to Moeen Ali, no run, that was full, wide, Moeen Ali threw his bat it and misses. There was a noise, MS went for the DRS but there was nothing on the UltraEdge. Mo continues.. ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Dwayne Bravo,0,0,Full,wide,,edge,,
19.2," Dwayne Bravo to Moeen Ali, FOUR, with the point and cover point in, the fuller ball was a bad idea. Moeen Ali got his bat down and slammed it over point for a four. The wrists of steel came into play ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Dwayne Bravo,4,0,Full,,point,,,
19.1," Dwayne Bravo to Moeen Ali, 2 runs, slams a slower delivery down the ground and they get a brace before the man at deep long-on could cut it off ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Dwayne Bravo,2,0,,,long-on,cut shot,,
18.6," Chahar to Negi, out Caught by Rayudu!! Scoops up a length ball which bounced a touch higher and the man at point takes it. That got big on him, Negi could not keep it down and the man at point took an easy catch. RCB have been poor at the death. Negi c Rayudu b Chahar 5(6) ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Negi, Chahar,out,out,Good,,point,,,"Catch out , rayudu"
18.5," Chahar to Negi, 2 runs, controls the pull and gets it down to deep square leg for a double ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Negi, Chahar,2,0,,,deep square,pull shot,,
18.4," Chahar to Moeen Ali, leg byes, 1 run, again looks to slog the ball away..gets through with his shot too early and the ball ricochets off the back for a single ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Chahar,byes,1,,,,slog shot,,
18.3," Chahar to Moeen Ali, FOUR, right up there! Brilliant delivery and equally well played. Opened the face of the blade and dug it out to squeeze the ball past the dive of the man at short third for a four. RCB need more of these ",1st Inns,39th,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Akshdeep Nath, Moeen Ali, Marcus Stoinis, Pawan Negi, Dale Steyn, Navdeep Saini, Yuzvendra Chahal, Umesh Yadav","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Dwayne Bravo, Ravindra Jadeja, Deepak Chahar, Shardul Thakur, Imran Tahir",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 21,2019",Chennai Super Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 1 run,Parthiv Patel,CSK,field,RCB,CSK,Moeen Ali, Chahar,4,0,Short,,,,,
