ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Rabada to Southee, 1 run, Delhi Capitals have been set a target of 150. Excellent bowling spell by Rabada who ends with figures of 4-0-21-4. Southee jams out the delivery towards third man and ends the innings with nothing more than a single ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
19.5," Rabada to Southee, 2 runs, a dive by Southee fetches him two. Was a short ball and the batsman had pulled it to deep mid-wicket. A better throw by Ingram at the batsman's end could have had Southee in trouble ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
19.4," Rabada to Southee, 2 runs, clips the low full toss to the right of deep mid-wicket and manages to sprint back for the second ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
19.3," Rabada to Southee, no run, good thinking by KG as he follows the batsman, bowls a short and quick delivery around leg, Southee swings and misses ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
19.2," Rabada to Chahal, 1 run, gets hurried due to the pace on this short ball and is a touch late in playing his hook, mistimed towards square leg for a run ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
19.1," Rabada to Southee, 1 run, yorker around middle and leg, Southee jams it out to long-on for a single ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
18.6," Chris Morris to Siraj, out Lbw!! Siraj has been adjudged lbw and he has decided to challenge the umpire's call. This probably is hitting the leg-stump, hence the batsman will have to walk back to the pavilion. Three reds and another wicket goes down. Siraj was trying to play a cheeky scoop shot, gets struck on the pads instead. Pitching in line, impact on leg and hitting the leg stump. Dead. Siraj lbw b Chris Morris 1(5) ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
18.5," Chris Morris to Southee, 1 run, latches on to the short ball and drags it to long-on. On a bounce to the fielder stationed in the deep. Had he timed it any better, this would have been a straight forward catch ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
18.4," Chris Morris to Siraj, 1 run, another full toss and Siraj whips it down to long-on for a single ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
18.4," Chris Morris to Siraj, no ball, that's a beamer, attempted slower delivery and Siraj ducks underneath. Instead of taking evasive action, the batsman should have gone after it, could have at least fetched him a few runs and Southee would have been on strike ",1st Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Moeen Ali, Akshdeep Nath, Pawan Negi, Tim Southee, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Rahul Tewatia, Colin Ingram, Chris Morris, Axar Patel, Kagiso Rabada, Ishant Sharma, Sandeep Lamichhane",,,IPL,2019,"M.Chinnaswamy Stadium,Bengaluru","Apr 07,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kagiso Rabada,DC,field,RCB,DC
