ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," SN Thakur to Jofra Archer, 1 run, much better from Thakur, finds the yorker at long last, squeezed wide of cover and the Royals finish with 151 on the board ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
19.5," SN Thakur to Jofra Archer, FOUR, cracking shot, this is a poor over from Thakur, banged in short and at the stumps, Archer swivels across and helps it over short fine, one bounce and over the ropes ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
19.4," SN Thakur to Shreyas Gopal, 1 run, banged in short and at the stumps, pulled away over mid-wicket for a single ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
19.3," SN Thakur to Shreyas Gopal, SIX, lovely, Shreyas is making the CSK captain think - length ball outside off and he lifted it nonchalantly over the head of the fielder at mid-off - the timing is sweet and the ball sailed over the ropes for a maximum ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
19.2," SN Thakur to Shreyas Gopal, FOUR, cracking shot, Shreyas is playing a handy cameo here, length ball and he drilled it back over the bowler's head - mid-off was inside the ring and the man at long-on couldn't get across in time ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
19.1," SN Thakur to Shreyas Gopal, 2 runs, fuller length delivery outside off, Gopal gets undernesth the ball and drives it over cover. Santner has a lot of work as he got across from deep cover, puts in the dive and saves a couple of runs ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
18.6," Chahar to Shreyas Gopal, 1 run, cheeky, but MS has the fielder at third man very fine and hence it's just a single - waited on the short slower bouncer and ramped it past the keeper ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
18.5," Chahar to Shreyas Gopal, FOUR, lovely, the slower ball and Shreyas picked it, backed away and lifts it over mid-off, almost went all the way, bounced just in front of the ropes for a boundary ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
18.4," Chahar to Jofra Archer, 1 run, slower short ball from Chahar, Archer nails the pull, but finds the fielder at deep mid-wicket ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
18.3," Chahar to Shreyas Gopal, 1 run, length ball on Shreyas's pads, clipped uppishly and behind square on the on-side for a single ",1st Inns,25t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Steven Smith, Sanju Samson, Rahul Tripathi, Ben Stokes, Riyan Parag, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Dhawal Kulkarni","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Deepak Chahar, Mitchell Santner, Shardul Thakur, Imran Tahir",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 11,2019",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,MS Dhoni,CSK,field,RR,CSK
