ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Rabada to Riyan Parag, out Bowled!! Bull's eye! Rabada cleans up Parag with a full toss as the batsman backs away to smash the ball away. At the speed of which Rabada is bowling, it's never so easy. The leg stump is uprooted but Rajashtan have managed to post an excellent score of 191/6. Riyan Parag b Rabada 4(3) [4s-1] ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.5 ," Rabada to Riyan Parag, FOUR, that's a full toss on the pads and Riyan Parag whips it past the man at fine leg who had no chance to stop this. He was a touch too fine in order to cut this down ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.4 ," Rabada to Riyan Parag, no run, short ball around off, Riyan Parag tries to ramp it over the keeper but gets beaten for pace ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.3 ," Rabada to Binny, out Bowled!! You miss, I hit. Rabada goes full and straight, very close to a yorker. Binny makes room to smash that but the speed is enough to beat him. Goes through his flashy drive and knocks over the middle-stick. Picks up the ball and hands over to Rabada too. Binny b Rabada 19(13) [4s-2] ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.3 ," Rabada to Binny, wide, goes for the wide yorker but misses the tramline by a whisker ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.2 ," Rabada to Binny, 2 runs, jams this overpitched delivery to long-on and manages to sprint back for two, does Binny. The fielder in the deep too failed to collect the ball cleanly ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 19.1 ," Rabada to Rahane, 1 run, a short and slow delivery around off, Rahane gets into position early and ramps it towards short fine leg. That came off the toe-end, hence the batsman couldn't get the result he desired for ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 18.6 ," Chris Morris to Binny, FOUR, boundary to end the over but Morris wouldn't mind - concedes only 8 runs in it. This was in the slot and Binny heaves it into the vacant region at cow-corner. The fielder was perhaps inside the circle and that shall be four more for the all-rounder ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 18.5 ," Chris Morris to Binny, no run, another dot ball, just 4 runs of the penultimate over of the innings so far. Morris spears in a yorker outside off and Binny fails to get underneath it yet again, beaten on his cue-end this time ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
 18.4 ," Chris Morris to Binny, no run, skiddy back of a length delivery outside off, Binny swings his blade but the ball slips beneath his bat ",RR Inns,40t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Ajinkya Rahane, Sanju Samson(w), Steven Smith(c), Ben Stokes, Riyan Parag, Ashton Turner, Stuart Binny, Shreyas Gopal, Jofra Archer, Jaydev Unadkat, Dhawal Kulkarni","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Colin Ingram, Chris Morris, Sherfane Rutherford, Axar Patel, Kagiso Rabada, Amit Mishra, Ishant Sharma",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 22,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Rishabh Pant,DC,field
