ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Jofra Archer to Stoinis, FOUR, cheeky! Stoinis had made up his mind even before Archer was about to bowl. He crouched low, moved across his stumps and scooped the full toss to the fine leg fence, 17 off the final over ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Stoinis, Jofra Archer,4,0,Full,,fine leg
19.5," Jofra Archer to Moeen Ali, byes, 1 run, sharp bouncer and Mo is beaten for pace, he misses the hook and Stoinis calls him through for a bye ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Moeen Ali, Jofra Archer,byes,1,,,
19.4," Jofra Archer to Moeen Ali, FOUR, past Gowtham's dive. Lands the slower delivery in a fullish range, Mo with a readymade clear of his front leg pumps it straight down the ground, the wet outfield makes the ball skid off the ground ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Moeen Ali, Jofra Archer,4,0,Full,,straight
19.3," Jofra Archer to Stoinis, 1 run, missed out there. A full toss outside off, Stoinis with a cleared front leg and can only drill it to long-off ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Stoinis, Jofra Archer,1,0,Full,off side,long-off
19.2," Jofra Archer to Moeen Ali, 1 run, fuller and around off, Mo backs away and drives to sweeper cover ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Moeen Ali, Jofra Archer,1,0,Full,,sweeper
19.1," Jofra Archer to Moeen Ali, SIX, another six that is just over.. Archer bowls the slower delivery on short of length, Mo picked the bones out of that, he was expecting this and it was right in his arc, hammers it over a leaping deep mid-wicket fielder ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Moeen Ali, Jofra Archer,6,0,Short,,mid-wicket
18.6," Stokes to Stoinis, no run, pacy short ball from Stokes and Stoinis is a bit surprised by that, he is late on the pull/hook and the ball flies over the top-edge. Buttler went up but Stokes gestured he didn't hear anything ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Stoinis, Stokes,0,0,Short,,
18.5," Stokes to Stoinis, 2 runs, slower short of length delivery and Stoinis pulls it to deep square leg, just a brace ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Stoinis, Stokes,2,0,Short,,deep square
18.4," Stokes to Stoinis, FOUR, thumped! Stoinis picks the slower delivery, maintains a good base by going deep in the crease and whips it with a lot of bottom hand to wide long-on, one bounce and over the ropes ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Stoinis, Stokes,4,0,Good,wide,long-on
18.3," Stokes to Moeen Ali, 1 run, another inside edge on the hoick by Mo and the ball ends up near short fine leg ",1st Inns,14t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Rahul Tripathi, Steven Smith, Ben Stokes, Stuart Binny, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Dhawal Kulkarni, Varun Aaron","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Marcus Stoinis, Akshdeep Nath, Umesh Yadav, Navdeep Saini, Yuzvendra Chahal, Mohammed Siraj",,,IPL,2019,"Sawai Mansingh Stadium,Jaipur","Apr 02,2019",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Shreyas Gopal,RR,field,RCB,RR,Moeen Ali, Stokes,1,0,Short,,short fine leg
