ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
19.6,"Arshdeep Singh to Shankar, 2 runs, a gentle lofted drive by Shankar and he'll cap off the innings with a couple of runs. Was a full toss and deserved to be put away but that isn't the case. Sunrisers have posted a massive score of 212/6. With the kind of bowling line-up they got, they should be able to defend it",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.5," Arshdeep Singh to Abhishek Sharma, 1 run, pitched on a full length by Arshdeep Singh and Abhishek plays an uppish off-drive, just a single as the fielder at long-off gets rid of the ball quickly ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.4," Arshdeep Singh to Abhishek Sharma, FOUR, that's a crispy drive by Abhishek Sharma! An overpitched delivery outside off and the southpaw creams it through extra cover. Miller in the deep sprinted across and although he put in a dive, he couldn't quite stop the ball, four runs for the young batsman ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.4," Arshdeep Singh to Abhishek Sharma, wide, slides this one down the leg side, Abhishek Sharma tries to flick it away into the leg side but fails to connect ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.3," Arshdeep Singh to Shankar, 1 run, low full toss around off, Shankar slices it towards point and takes a single ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.2," Arshdeep Singh to Abhishek Sharma, leg byes, 1 run, low full toss on leg, denies him any room, Sharma swings across hard and the ball strikes his pads before it rolls into the off side, leg bye taken ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
19.1," Arshdeep Singh to Rashid Khan, out Bowled!! Wickets are tumbling towards the death but the total is more than enough. Arshdeep Singh nails his yorker right and uproots the leg-stump as Rashid Khan fails to squeeze it out. Some decent death bowling by Kings XI Punjab. Rashid Khan b Arshdeep Singh 1(2) ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
18.6," Shami to Shankar, 2 runs, good over by Shami comes to an end. A full toss that Shankar heaves into the leg side and manages to storm back for the second. 7 runs and 2 wickets in his final over ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
18.5," Shami to Shankar, 2 runs, low full toss around off and Shankar drives it to Ashwin at extra cover. Having pulled off a stunning catch earlier in the over, Ashwin makes a mistake this time around. Gives away a overthrow at the bowler's end as the batsmen manage to complete a couple of runs ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
18.4," Shami to Nabi, out Bowled!! Shami has ripped the stumps apart. Dishes out a sizzling full length delivery and it was the pace that got the better of him. Nabi swung hard but there was daylight between his willow and the ball - end result is that the sticks are rattled and it's game over for Nabi, at least with the bat. Nabi b Shami 20(10) [6s-2] ",1st Inns,48t,Sunrisers Hyderabad,Kings XI Punjab,"Sunrisers Hyderabad (Playing XI): David Warner, Kane Williamson(c), Manish Pandey, Vijay Shankar, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Sandeep Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul, Chris Gayle, Mayank Agarwal, David Miller, Nicholas Pooran, Simran Singh(w), Ravichandran Ashwin(c), Murugan Ashwin, Mohammed Shami, Arshdeep Singh, Mujeeb Ur Rahman",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Apr 29,2019",Kings XI Punjab have won the toss and have opted to field,Sunrisers Hyderabad won by 45 runs,David Warner,PBKS,field
