ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Siraj to Y Pathan, 1 run, low full-toss from Siraj, whipped to deep mid-wicket and SRH will end up with 231 with that single ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Y Pathan, Siraj,1,0,Full toss,,mid-wicket,
19.5," Siraj to Warner, leg byes, 1 run, change of pace from Siraj, slower ball on Warner's pads, he was looking to tuck and missed, off the pads and rolled to the off-side ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, Siraj,byes,1,,,off-side,beaten
19.4," Siraj to Warner, FOUR, hundred for Warner and another SRH batsman is thrilled to bits - rushes half-way towards the SRH dressing room, delight on his face as he punches his fist - raises his bat and acknowledges the applause from the Orange Army - full-toss and it was squeezed behind square on the off-side. Backward point dived, but to no avail ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, Siraj,4,0,Full toss,,square,edge
19.3," Siraj to Y Pathan, 1 run, banged in short and at Pathan, he took his eyes off the pull, got cramped for room on the pull, but manages to nudge it down towards long leg for a single ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Y Pathan, Siraj,1,0,Short,,long leg,pull shot
19.2," Siraj to Warner, 1 run, full-toss from Siraj, driven straight to Moeen at deep cover, just a single and Warner moves onto 96 ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, Siraj,1,0,Full toss,,straight,straight drive
19.1," Siraj to Warner, 2 runs, very full and at the stumps, Warner makes room and squeezes it wide of long-off, comes back for an easy second run ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, Siraj,2,0,Full,stump line,long-off,
18.6," U Yadav to Warner, 1 run, yorker length delivery at the stumps, flicked to deep mid-wicket for a single ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, U Yadav,1,0,yorker,stump line,mid-wicket,flick shot
18.5," U Yadav to Warner, 2 runs, Umesh keeps it full and at the stumps, worked away in front of long-on and Warner scampers back for the second run - excellent running from Warner and he moves onto 92 ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, U Yadav,2,0,Full,stump line,long-on,
18.4," U Yadav to Warner, 2 runs, fuller length delivery outside off, Warner backs away and carves it wide of cover - Prayas gets across, puts in the slide and saves a couple of runs ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, U Yadav,2,0,Full,off side,cover,
18.3," U Yadav to Warner, SIX, this is a poor ball from Umesh, slower ball, but the length was short and just sat-up to be smacked - pulled with disdain and pulled over long leg for a maximum ",1st Inns,11t,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Vijay Shankar, Manish Pandey, Deepak Hooda, Yusuf Pathan, Rashid Khan, Mohammad Nabi, Bhuvneshwar Kumar(c), Sandeep Sharma, Siddarth Kaul","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Shimron Hetmyer, Colin de Grandhomme, Shivam Dube, Prayas Barman, Yuzvendra Chahal, Umesh Yadav, Mohammed Siraj",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 31,2019",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 118 runs,Jonny Bairstow,RCB,field,SRH,RCB,Warner, U Yadav,6,0,Short,,long leg,pull shot
