ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
19.6," Bhuvneshwar to Stokes, FOUR, Rajasthan Royals finish with a mammoth 198. Bhuvi concedes 45 runs from his last 2 overs. Full and wide outside off, Stokes throws the kitchen sink and the outside edge flies over short third man ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Stokes, Bhuvneshwar
19.5," Bhuvneshwar to Stokes, FOUR, Stokes being cheeky. He telegraphed his ploy very early, Stokes shuffled across to get inside the line and scoop it over short fine. He generated enough power to clear the fielder ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Stokes, Bhuvneshwar
19.5," Bhuvneshwar to Samson, 2 wides, sprays it down leg and Bairstow does well to dive across and make a half stop ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Samson, Bhuvneshwar
19.4," Bhuvneshwar to Samson, 2 runs, spears in the yorker but Samson in such form manages to squeeze it with a closed bat face to deep square leg, the duo were always going for the second and they get it with ease ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Samson, Bhuvneshwar
19.3," Bhuvneshwar to Samson, FOUR, hundred for Samson. Second in the IPL for him. Both have come in the last two seasons. He is making sure that Warne was right about his prediction. A innings of top quality. He raises bat and fist pumps both his hands. The Royals family love it and all are on their feet to applaud the innings. Short of length and Samson slaps the pull to long-on, the fielder gets across and dives but does not get enough to stop the ball ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Samson, Bhuvneshwar
19.2," Bhuvneshwar to Stokes, 1 run, keeps it well away from Stokes and the drive is toe-ended to extra cover, put in the dive to make his ground ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Stokes, Bhuvneshwar
19.1," Bhuvneshwar to Stokes, FOUR, geez! Stokes showing he has the innovative game. He set up for the heave, then wanted to scoop but since the line was outside off, he reverse scooped it over short third man and the connection almost took it the distance ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Stokes, Bhuvneshwar
18.6," Sandeep Sharma to Samson, 2 runs, in the air and safe.. The leg-cutter and Samson for once was early into his loft, slices it over extra cover and KW cannot backtrack in time to catch that, the batsmen settle with a brace ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Samson, Sandeep Sharma
18.5," Sandeep Sharma to Stokes, 1 run, keeps the slower delivery away from Stokes's range and he drags it to long-on ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Stokes, Sandeep Sharma
18.4," Sandeep Sharma to Samson, 1 run, slower delivery outside off, Samson reaches out and flat-bats it to long-off, just a single ",1st Inns,8th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): David Warner, Jonny Bairstow(w), Kane Williamson(c), Vijay Shankar, Yusuf Pathan, Manish Pandey, Rashid Khan, Bhuvneshwar Kumar, Shahbaz Nadeem, Sandeep Sharma, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Jos Buttler(w), Sanju Samson, Steven Smith, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Jaydev Unadkat, Shreyas Gopal, Dhawal Kulkarni",,,IPL,2019,"Rajiv Gandhi International Stadium,Hyderabad","Mar 29,2019",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 5 wkts,Rashid Khan,RR,bat,RR,SRH,Samson, Sandeep Sharma
