ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Ngidi to Tripathi, 2 runs, another beautifully bowled slower one, Tripathi waits on his knees for the ""YES"", but it takes forever to come - skies the slog sweep towards midwicket, as the man in the deep runs in, but won't quite make it for the catch - and they take a couple in the mean time to end on 172/5 ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Tripathi, Ngidi,2,0,Full,,midwicket
19.5," Ngidi to Karthik, leg byes, 1 run, DK backs away, Ngidi follows him, DK has a swipe at it to swat it over deep square leg, and it bounces off the pads towards backward square leg for a leg-bye ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Ngidi,byes,1,,,deep square
19.4," Ngidi to Tripathi, 1 run, an inch-perfect yorker, Tripathi has done well to open the face and steer it to backward point for a single to give DK the strike... ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Tripathi, Ngidi,1,0,yorker,,backward point
19.3," Ngidi to Karthik, 1 run, fuller length ball on the boots, flicked away uppishly to deep square leg for a single ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Ngidi,1,0,Full,,deep square
19.2," Ngidi to Morgan, out Caught by Ruturaj Gaikwad!! Pace off, and Ruturaj takes the catch! A slower one on a length, inveigles Morgan into committing to the bottom-handed swat over long-off, early into the shot - gets far more height than distance and the fielder at long-off manages to settle under it. Morgan c Ruturaj Gaikwad b Ngidi 15(12) [4s-2] ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Morgan, Ngidi,out,out,Good,,long-off
19.1," Ngidi to Morgan, FOUR, full and wide from round the wicket, Morgan has almost fallen over trying to reach that, swats it bottom-handed and rubs off the white paint on the crease, as it flies over short third man for four ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Morgan, Ngidi,4,0,Full,wide,short third man
18.6," Sam Curran to Karthik, 2 runs, 131.9km/h, but it did look like a slower one, Karthik clears his leg to launch it over long-off, miscues it off the inside half towards the wide long-on region for a couple ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Sam Curran,2,0,,wide,long-off
18.5," Sam Curran to Karthik, no run, full and wide outside off, Karthik reaches out and tries to slices that through the point region - but DK has moved away into the on-side and fails to reach it... ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Sam Curran,0,0,Full,wide,point
18.4," Sam Curran to Karthik, 2 runs, short and wide, slapped hard and flat over the in-field to deep extra cover for a couple ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Sam Curran,2,0,Short,wide,deep extra cover
18.3," Sam Curran to Karthik, FOUR, premeditated, and he's done that really well! Angling away wide outside off, Karthik gets across and swat-sweeps that away to the deep square leg fence for four! ",1st Inns,49t,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), N Jagadeesan, Sam Curran, Ravindra Jadeja, Mitchell Santner, Karn Sharma, Deepak Chahar, Lungi Ngidi","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Rinku Singh, Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Varun Chakravarthy",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 29,2020",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Ruturaj Gaikwad,CSK,field,KKR,CSK,Karthik, Sam Curran,4,0,,wide,deep square
